nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.472332;0.492436;0.000943458;0.499734;0.436096;0.000430803;0.517349;0.437588;-0.00601592;0.535942;0.439163;0.00632227;0.453712;0.432895;-0.00814888;0.436616;0.430749;0.00575936;0.419461;0.429994;0.0129049;0.563038;0.472186;0.00140155;0.400594;0.458425;0.00450333;0.505486;0.556699;-0.00402083;0.439921;0.551145;0.00728727;0.669789;0.760568;-0.0765259;0.288363;0.746414;0.0989506;0.721595;1.2119;-0.345561;0.220688;1.20159;-0.0781189;0.628148;1.35622;-0.0142452;0.35001;1.31451;-0.186137;0.605253;1.4339;-0.0122922;0.382499;1.3829;-0.00461821;0.578286;1.37435;-0.00804931;0.413559;1.32129;0.00619207;0.574034;1.35862;0.00225741;0.411952;1.31277;0.000207743;0.598661;1.38026;0.459768;0.325346;1.36409;0.698475
0.473488;0.499452;-0.000724912;0.498936;0.442424;-0.00090471;0.516542;0.441971;-0.009111;0.535086;0.442959;0.00491033;0.454454;0.442834;-0.0063716;0.437355;0.442618;0.00383059;0.420256;0.442403;0.0122548;0.565552;0.473774;0.000766881;0.405299;0.472188;0.0050782;0.509494;0.561144;-0.00272605;0.445002;0.560489;0.00513543;0.674517;0.752732;-0.115437;0.309118;0.728402;0.132102;0.721691;1.18826;-0.31011;0.225984;1.12015;-0.501548;0.671738;1.41496;-0.0455703;0.340395;0.951093;-0.271285;0.671204;1.50946;-0.0127432;0.370859;0.926304;-0.00647843;0.636871;1.47705;-0.0072682;0.384607;0.886723;0.00648224;0.622851;1.45267;-0.00126383;0.389769;0.91341;0.00229301;0.605023;1.35025;0.425119;0.344189;1.32662;0.742799
0.472097;0.497653;0.00033282;0.498313;0.44131;0.000707183;0.516668;0.442326;-0.0071417;0.535005;0.44403;0.00659408;0.452423;0.438768;-0.00732675;0.435033;0.437805;0.00612199;0.41716;0.436816;0.0123648;0.562119;0.478557;0.00148046;0.397939;0.467401;0.00474351;0.505648;0.562123;-0.00377856;0.438523;0.557718;0.00666583;0.665848;0.754015;-0.0917279;0.28981;0.741447;0.11191;0.722478;1.19475;-0.326305;0.228163;1.19077;-0.136565;0.66562;1.43379;-0.0074967;0.360558;1.30268;-0.227084;0.663878;1.53277;-0.0126821;0.388218;1.37026;-0.00499277;0.626137;1.49766;-0.00741362;0.421566;1.31844;0.00605779;0.612285;1.47349;0.00117927;0.42075;1.31289;0.000430541;0.596649;1.33777;0.48414;0.331456;1.32309;0.768146
0.471682;0.495133;-0.00114286;0.497901;0.439763;-0.00197684;0.516102;0.440618;-0.00798972;0.534303;0.441472;0.00430935;0.452351;0.43967;-0.00652206;0.435572;0.439563;0.00299895;0.418313;0.439435;0.0123627;0.566114;0.4757;0.00084287;0.403184;0.471458;0.00475115;0.507587;0.559558;-0.0027013;0.442399;0.558543;0.0051892;0.671915;0.751401;-0.113878;0.307433;0.733603;0.129513;0.719428;1.18326;-0.382668;0.227772;1.1288;-0.63738;0.636787;1.3144;-0.104054;0.348125;0.86031;-0.21242;0.620741;1.38594;-0.0123702;0.382982;0.804664;-0.00523787;0.59311;1.3369;-0.00786991;0.383452;0.763769;0.00694139;0.586626;1.32705;-0.00126828;0.389656;0.806341;0.00219961;0.608153;1.34988;0.458626;0.343855;1.33338;0.760543
0.471393;0.494219;0.0007606;0.49793;0.437917;0.000878152;0.515049;0.438721;-0.00688397;0.533103;0.440246;0.0067613;0.452756;0.435795;-0.00750471;0.436128;0.434338;0.00609595;0.419009;0.433534;0.0126082;0.561848;0.473416;0.00177953;0.402135;0.463208;0.00493995;0.505644;0.55676;-0.00362969;0.440038;0.553002;0.00666838;0.668537;0.758042;-0.0814776;0.294682;0.744548;0.101936;0.720181;1.19919;-0.300694;0.220537;1.19062;-0.103661;0.65524;1.41279;0.0151358;0.341849;1.29652;-0.218622;0.647399;1.5045;-0.0122514;0.370806;1.36152;-0.00484703;0.615023;1.46371;-0.00740064;0.402083;1.30612;0.00596214;0.604113;1.44153;0.00155744;0.401733;1.30068;0.00046556;0.600448;1.35334;0.447235;0.337578;1.33694;0.704633
0.473777;0.486543;0.000259042;0.500926;0.435059;-0.0010195;0.517973;0.436445;-0.00648555;0.535005;0.438505;0.00488916;0.456882;0.431872;-0.00758561;0.440783;0.430526;0.0045447;0.425145;0.429873;0.012334;0.563719;0.472083;0.00108988;0.409368;0.458896;0.00481879;0.506117;0.551302;-0.00308721;0.444566;0.546035;0.00620405;0.666081;0.752252;-0.0963017;0.304024;0.737143;0.114969;0.719722;1.18689;-0.413179;0.221658;1.18904;-0.334715;0.630912;1.26143;-0.0457211;0.351696;1.09328;-0.168424;0.606105;1.31436;-0.0120673;0.391977;1.09496;-0.004641;0.586505;1.25283;-0.00829676;0.40371;1.03204;0.00693742;0.583829;1.24463;0.00024469;0.40622;1.04834;0.00082412;0.607139;1.35623;0.434513;0.340446;1.3397;0.707832
0.468468;0.492992;-0.000270745;0.494516;0.437573;-0.00136502;0.51243;0.438917;-0.00734031;0.5294;0.440226;0.00497342;0.450644;0.435926;-0.00677992;0.434618;0.434653;0.0042545;0.418119;0.433363;0.0127119;0.559043;0.470879;0.000445175;0.402972;0.460992;0.00522043;0.501759;0.556009;-0.00311161;0.439515;0.55233;0.00575132;0.664288;0.752112;-0.0919032;0.299162;0.738405;0.110071;0.717707;1.18045;-0.345905;0.225334;1.18076;-0.460578;0.639218;1.28895;-0.0609935;0.351001;0.997492;-0.173189;0.62104;1.35272;-0.012004;0.389338;0.966705;-0.00503609;0.597431;1.30215;-0.00802973;0.393587;0.915839;0.0064518;0.591895;1.29523;-0.000195743;0.398203;0.946896;0.00139543;0.599315;1.35325;0.445005;0.335713;1.33798;0.713518
0.472425;0.485626;2.68939e-05;0.499947;0.433942;-0.00124493;0.516856;0.43604;-0.00659428;0.534706;0.438181;0.00469286;0.456233;0.429972;-0.00735926;0.44025;0.428585;0.00431405;0.424252;0.427867;0.0125707;0.564093;0.472322;0.00117873;0.408542;0.456636;0.00487675;0.504878;0.551388;-0.00301395;0.443314;0.545277;0.00606468;0.666155;0.75489;-0.101213;0.30291;0.738596;0.119808;0.719633;1.18934;-0.398732;0.221225;1.19378;-0.387669;0.62028;1.25187;-0.0380725;0.343329;1.03983;-0.16147;0.592773;1.30289;-0.0119013;0.382828;1.02151;-0.00468551;0.573465;1.23906;-0.0081647;0.388839;0.962833;0.00712756;0.572643;1.23366;0.000208715;0.394422;0.987198;0.00103438;0.605731;1.35572;0.433803;0.339534;1.33842;0.716022
0.474863;0.489997;0.000593001;0.500782;0.435582;-0.000738272;0.517644;0.437568;-0.00594284;0.535457;0.438923;0.00519128;0.45623;0.433196;-0.00773559;0.439825;0.431895;0.00507396;0.423888;0.430613;0.0121643;0.562066;0.471329;0.000819844;0.405972;0.459298;0.00487232;0.50696;0.554662;-0.00299708;0.444152;0.549568;0.00658808;0.665501;0.758403;-0.081594;0.297768;0.742213;0.102066;0.726528;1.20141;-0.397705;0.220513;1.19924;-0.263729;0.642746;1.26227;-0.0639378;0.359343;1.15653;-0.154506;0.616422;1.31333;-0.0119737;0.402143;1.17687;-0.0045277;0.597993;1.24585;-0.0083515;0.418478;1.10807;0.00655142;0.594393;1.2377;0.000828551;0.4183;1.11741;0.000136221;0.601382;1.36349;0.444631;0.332249;1.34643;0.690293
0.473064;0.4906;4.11632e-05;0.500229;0.435896;-0.00138226;0.51804;0.436787;-0.00623253;0.535818;0.439012;0.0050124;0.455233;0.433643;-0.00769448;0.438845;0.432156;0.0043602;0.42244;0.431334;0.012487;0.565023;0.472511;0.00101311;0.405762;0.460534;0.00457272;0.50665;0.555687;-0.00326649;0.443408;0.551187;0.00639741;0.668693;0.758688;-0.0899887;0.30024;0.742247;0.109569;0.716944;1.19827;-0.429601;0.216076;1.2039;-0.373321;0.608661;1.25025;-0.0794363;0.355168;1.08272;-0.175522;0.57741;1.29941;-0.0118715;0.397549;1.07683;-0.00426127;0.559374;1.23176;-0.00851522;0.407101;1.01323;0.00722182;0.559539;1.2251;0.000287169;0.409451;1.03204;0.000963642;0.605955;1.35957;0.466417;0.336548;1.34208;0.7246
0.472029;0.493163;-0.000294116;0.497621;0.438394;-0.00140682;0.515397;0.43921;-0.00704963;0.533173;0.440025;0.00492524;0.453635;0.437042;-0.00703867;0.43773;0.436312;0.00401112;0.421358;0.435561;0.0126001;0.562417;0.472002;0.000704781;0.405725;0.464147;0.0049033;0.506192;0.556;-0.00306776;0.443494;0.55379;0.00583204;0.667426;0.755866;-0.0879888;0.303416;0.742496;0.106417;0.714718;1.18959;-0.361082;0.231424;1.1914;-0.463813;0.621826;1.2799;-0.0697358;0.355989;1.00531;-0.169659;0.59895;1.33879;-0.0117957;0.392733;0.975026;-0.00472779;0.576768;1.28449;-0.0082782;0.396716;0.923262;0.00676077;0.573176;1.27767;-0.000141116;0.401636;0.954123;0.00140133;0.601394;1.35488;0.458197;0.337716;1.33613;0.709527
0.474451;0.49624;0.000355673;0.498878;0.439711;-0.000586324;0.51662;0.440673;-0.00659238;0.534344;0.442299;0.0055995;0.454523;0.437305;-0.00748304;0.437733;0.43573;0.00539874;0.420924;0.434818;0.0121262;0.559725;0.47227;0.000715452;0.401501;0.461694;0.00491325;0.505963;0.559129;-0.0031666;0.442483;0.555021;0.00651937;0.662452;0.756474;-0.0662888;0.291057;0.744311;0.0872559;0.719872;1.19582;-0.334306;0.219227;1.20857;-0.280574;0.645664;1.31283;-0.0683913;0.360399;1.175;-0.173461;0.628907;1.37975;-0.0119656;0.401454;1.19584;-0.00472709;0.604186;1.32521;-0.0082788;0.418571;1.13293;0.00639161;0.597071;1.31152;0.000621001;0.418322;1.14223;0.000397879;0.597835;1.35279;0.465131;0.330736;1.33964;0.684965
0.471644;0.480422;0.000288208;0.499732;0.43107;-0.00129146;0.516496;0.433745;-0.00649745;0.534193;0.436458;0.00445081;0.455428;0.427274;-0.00747881;0.439584;0.425301;0.00414436;0.423727;0.423992;0.012455;0.56336;0.472857;0.0015669;0.407682;0.455231;0.0047682;0.502984;0.548137;-0.00277628;0.441462;0.540984;0.00586996;0.662165;0.763235;-0.110205;0.299171;0.740499;0.128066;0.709476;1.19835;-0.427277;0.21585;1.19024;-0.365404;0.611158;1.25548;-0.0354021;0.339082;1.05572;-0.180134;0.582163;1.30347;-0.011915;0.377185;1.04265;-0.00460403;0.564747;1.2403;-0.00829601;0.385881;0.981883;0.00722344;0.563947;1.23363;0.000280911;0.391056;1.00335;0.00110814;0.595019;1.36113;0.422608;0.327821;1.33697;0.721935
0.468904;0.488951;-0.00014547;0.493943;0.43479;-0.00158993;0.510711;0.435858;-0.00629778;0.52841;0.436984;0.00482988;0.449167;0.433931;-0.00743786;0.43331;0.433586;0.00441464;0.416987;0.43321;0.0123624;0.557281;0.468691;0.000707089;0.400658;0.462703;0.00480438;0.501453;0.552088;-0.00328002;0.439909;0.550162;0.00586797;0.66391;0.758236;-0.0830477;0.299028;0.740983;0.103329;0.713621;1.19549;-0.397696;0.220347;1.19463;-0.379979;0.616728;1.24906;-0.0864278;0.35005;1.04756;-0.167144;0.588171;1.29636;-0.0117359;0.390648;1.03289;-0.00461497;0.570569;1.23285;-0.00825377;0.395868;0.970831;0.00700441;0.567982;1.22605;0.000107281;0.399351;0.99362;0.00113462;0.603021;1.35837;0.45481;0.334357;1.33862;0.695153
0.469107;0.483406;-0.000426563;0.49539;0.431467;-0.00215239;0.512151;0.432848;-0.00668296;0.529843;0.434268;0.00436305;0.451124;0.429573;-0.00696704;0.435282;0.428895;0.00339429;0.419439;0.428217;0.012521;0.558977;0.468016;0.000716097;0.403884;0.458063;0.00480008;0.502242;0.548501;-0.00277516;0.440764;0.544543;0.00543014;0.662068;0.753665;-0.0988277;0.301034;0.734237;0.116367;0.708008;1.18346;-0.405101;0.228426;1.16824;-0.525372;0.612735;1.23377;-0.0986529;0.352208;0.938731;-0.154302;0.586536;1.28173;-0.0118072;0.39;0.893918;-0.00454514;0.567324;1.21989;-0.00843474;0.388735;0.843453;0.00683957;0.565516;1.21716;-0.000373527;0.39453;0.878192;0.00148318;0.596261;1.35113;0.447056;0.330396;1.33047;0.715569
0.46937;0.487915;-0.000635876;0.494849;0.433839;-0.00206319;0.512531;0.434965;-0.00651705;0.529281;0.436031;0.00448297;0.450118;0.43298;-0.00724117;0.433812;0.432605;0.00375522;0.417041;0.4322;0.0125902;0.558081;0.46903;0.000756866;0.400221;0.462957;0.0045885;0.503219;0.553064;-0.00316028;0.440362;0.550388;0.00573835;0.66456;0.759609;-0.0824983;0.298628;0.74294;0.101769;0.71062;1.19222;-0.389844;0.223078;1.17311;-0.529573;0.605532;1.24255;-0.105903;0.352742;0.949289;-0.15149;0.576962;1.29113;-0.0116805;0.392313;0.906719;-0.00429012;0.556544;1.22882;-0.00843468;0.3925;0.856337;0.00694279;0.555697;1.22612;-0.000158287;0.397001;0.891104;0.00125902;0.600935;1.35896;0.471585;0.333896;1.34063;0.702837
0.467918;0.48135;0.00047239;0.494327;0.429566;-0.00121784;0.511078;0.431033;-0.00530461;0.52783;0.432501;0.00482402;0.449599;0.42808;-0.0078932;0.433763;0.42732;0.00447451;0.417928;0.426559;0.0123786;0.556867;0.46639;0.000993931;0.401803;0.457616;0.00470024;0.499942;0.546551;-0.00314199;0.439394;0.543643;0.00636043;0.659927;0.760478;-0.0896504;0.299853;0.745174;0.109573;0.717452;1.20491;-0.456233;0.218189;1.1995;-0.288233;0.615477;1.21858;-0.0657669;0.354617;1.12912;-0.129087;0.580193;1.25137;-0.0118544;0.397806;1.1365;-0.00412136;0.567951;1.17783;-0.00846116;0.409223;1.06808;0.00698664;0.568945;1.17523;0.00103944;0.410802;1.08009;0.000249848;0.60177;1.36381;0.433864;0.332628;1.34823;0.686446
0.471784;0.48555;-0.000416922;0.499023;0.432336;-0.00205366;0.516712;0.433757;-0.00628114;0.534387;0.43584;0.00434036;0.453848;0.429739;-0.00724243;0.437557;0.428378;0.00355567;0.421251;0.42768;0.0127443;0.563501;0.470245;0.000856602;0.404752;0.458142;0.0045734;0.504898;0.551295;-0.00283471;0.4425;0.547297;0.00584783;0.666568;0.755841;-0.0931575;0.300339;0.742813;0.110927;0.717082;1.18906;-0.426695;0.225441;1.19719;-0.517348;0.609344;1.2123;-0.103411;0.35468;0.97327;-0.141338;0.577699;1.25339;-0.0117758;0.394767;0.929891;-0.00427846;0.560467;1.18634;-0.00866616;0.394053;0.87548;0.00726064;0.560439;1.18766;6.42551e-06;0.39938;0.910193;0.00101955;0.607246;1.35546;0.464215;0.338934;1.34264;0.724753
0.475339;0.484811;0.000508126;0.501447;0.431937;-0.00115206;0.519152;0.433875;-0.00553425;0.535924;0.435781;0.00499103;0.456684;0.429065;-0.00793315;0.440367;0.427839;0.00453896;0.424506;0.427292;0.0124101;0.564272;0.470617;0.00104906;0.406713;0.457881;0.00445875;0.506875;0.551623;-0.00305514;0.444874;0.546829;0.00675193;0.665807;0.757597;-0.0841147;0.298601;0.748252;0.103889;0.722709;1.19839;-0.449623;0.219169;1.2182;-0.334359;0.61407;1.21854;-0.0819564;0.366614;1.13963;-0.136147;0.578846;1.25849;-0.0118779;0.411776;1.1465;-0.00379887;0.563296;1.18492;-0.00891021;0.423683;1.07787;0.00712379;0.564297;1.18097;0.00088774;0.423946;1.08983;0.000135121;0.607029;1.35771;0.463623;0.336471;1.34705;0.706517
0.474435;0.483719;0.000727072;0.501416;0.432917;-0.000492606;0.519104;0.434854;-0.00570003;0.535837;0.438084;0.00486961;0.457196;0.428076;-0.00790355;0.440907;0.426188;0.00485868;0.424606;0.424962;0.0122523;0.563202;0.474179;0.00157707;0.405887;0.456152;0.00444347;0.504997;0.551097;-0.0029265;0.442624;0.544303;0.00674898;0.661898;0.757468;-0.0947552;0.295994;0.747502;0.113287;0.721519;1.19925;-0.436596;0.220049;1.20848;-0.250816;0.625357;1.2596;-0.0359266;0.357899;1.19201;-0.158275;0.595557;1.31163;-0.0120338;0.401279;1.21871;-0.00421037;0.577135;1.24335;-0.00856643;0.418323;1.149;0.0069238;0.576361;1.23404;0.00132485;0.418233;1.1543;3.32919e-05;0.605064;1.35574;0.433333;0.336146;1.34646;0.705361
