nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.452981;0.334916;0.00221068;0.476889;0.29149;0.00262197;0.492083;0.291557;-0.00702752;0.507259;0.292344;0.00696029;0.438351;0.293094;-0.00589647;0.42415;0.293798;0.00331405;0.409948;0.294503;0.0158979;0.536689;0.32989;0.00486825;0.402432;0.330854;0.00595579;0.487404;0.395054;-0.00307083;0.430168;0.394968;0.00618912;0.632049;0.641009;-0.123767;0.301267;0.621699;0.132625;0.629429;1.05943;-0.346243;0.217654;1.03808;0.191218;0.596433;1.27961;0.24766;0.230481;1.38743;-0.109403;0.587359;1.35694;-0.0118088;0.218204;1.5107;-0.00509762;0.58004;1.32631;-0.00652527;0.26204;1.50001;0.00612189;0.569427;1.30558;0.00550496;0.279261;1.46056;-0.000740025;0.551421;1.2571;0.290561;0.315513;1.23191;0.584158
0.458625;0.33099;0.00132997;0.478908;0.289479;0.00273247;0.492493;0.289482;-0.00761719;0.507543;0.290356;0.0065783;0.442654;0.289944;-0.00668415;0.429532;0.290704;0.00362042;0.415909;0.291413;0.0156421;0.530892;0.325026;0.00506114;0.405117;0.324623;0.00528068;0.488366;0.387804;-0.00381447;0.435024;0.387896;0.00642541;0.624488;0.633332;-0.0994194;0.297208;0.618088;0.109644;0.621134;1.04447;-0.26746;0.214231;1.03155;0.153802;0.583805;1.33537;0.240614;0.229683;1.35236;-0.135863;0.582754;1.43259;-0.011659;0.219659;1.46723;-0.00526499;0.560478;1.41592;-0.00666063;0.26166;1.45306;0.00612747;0.548953;1.38608;0.0051317;0.277104;1.41748;-0.000830128;0.554756;1.23641;0.301081;0.32354;1.22201;0.541444
0.450858;0.331042;0.00203804;0.474183;0.288047;0.00254658;0.490089;0.288415;-0.00644409;0.504979;0.289422;0.0069371;0.436816;0.289766;-0.0064635;0.423368;0.290272;0.00347437;0.409423;0.290744;0.0155202;0.533579;0.326729;0.00498058;0.402241;0.327048;0.00505822;0.484683;0.390636;-0.0034142;0.428456;0.39108;0.00642079;0.631612;0.638285;-0.111428;0.300416;0.620141;0.121987;0.618544;1.05907;-0.330931;0.208432;1.03559;0.158757;0.577384;1.24872;0.206956;0.236341;1.3615;-0.120062;0.567037;1.32019;-0.0118323;0.228856;1.48127;-0.0046739;0.558337;1.28281;-0.00667312;0.274636;1.46597;0.00628104;0.549023;1.26378;0.00534549;0.288814;1.42873;-0.00112286;0.561596;1.24482;0.31031;0.326476;1.22468;0.573912
0.45707;0.332956;0.00177435;0.478774;0.290387;0.00240359;0.49356;0.290049;-0.00686684;0.508347;0.28971;0.00674388;0.441241;0.293295;-0.00651332;0.427903;0.294439;0.00348145;0.41405;0.296245;0.0154706;0.535623;0.32599;0.00490324;0.405882;0.332081;0.00535667;0.490971;0.390724;-0.00347761;0.435729;0.393061;0.00622127;0.635752;0.640668;-0.0964663;0.302888;0.625167;0.107779;0.627011;1.05329;-0.301019;0.210881;1.03882;0.119461;0.583605;1.27711;0.197482;0.239413;1.34485;-0.116264;0.575815;1.3578;-0.0116279;0.232988;1.45646;-0.00471495;0.56207;1.3288;-0.00666702;0.274947;1.43986;0.00612521;0.552107;1.30427;0.00496857;0.2895;1.40448;-0.00095154;0.563132;1.24342;0.312824;0.327488;1.2223;0.540063
0.45619;0.333812;0.00142905;0.477358;0.291694;0.00252275;0.491536;0.291413;-0.00729007;0.506174;0.291862;0.00706523;0.441589;0.294458;-0.0057848;0.428358;0.295508;0.00354786;0.414614;0.297213;0.0152966;0.534166;0.326009;0.00512172;0.407485;0.330006;0.00591056;0.488737;0.389158;-0.00340114;0.43492;0.391206;0.00555996;0.633519;0.637392;-0.111519;0.30725;0.610508;0.121519;0.62471;1.04246;-0.258525;0.215424;1.00214;0.175724;0.597565;1.34048;0.22121;0.215938;1.31761;-0.150115;0.601665;1.43668;-0.0113105;0.199427;1.42887;-0.00554472;0.579742;1.42246;-0.0058915;0.240714;1.42237;0.00561332;0.565227;1.39354;0.00446245;0.258071;1.39038;-0.000197685;0.556717;1.23446;0.267793;0.32585;1.20392;0.535098
0.457938;0.329846;0.00175027;0.479799;0.2884;0.00211282;0.493404;0.288311;-0.00697457;0.508911;0.289093;0.00675118;0.443272;0.290458;-0.00622486;0.430086;0.291969;0.0036236;0.416933;0.292792;0.0155091;0.535377;0.325457;0.00478603;0.409934;0.328051;0.00567962;0.490688;0.387533;-0.00354598;0.43672;0.388624;0.00582729;0.631392;0.639233;-0.102809;0.30494;0.619281;0.113532;0.622269;1.04043;-0.295885;0.209545;1.01643;0.137644;0.588528;1.28316;0.183444;0.232637;1.32121;-0.13825;0.58562;1.36578;-0.0115334;0.223053;1.43221;-0.00493748;0.570147;1.34359;-0.00624758;0.266931;1.41842;0.00578564;0.558671;1.31901;0.00499049;0.281603;1.38527;-0.00059494;0.553713;1.2384;0.284254;0.323527;1.21654;0.535066
0.455782;0.331718;0.00154652;0.479373;0.290688;0.00231461;0.493302;0.291981;-0.00683665;0.508672;0.293409;0.00670503;0.443191;0.290758;-0.00588147;0.429679;0.290875;0.00346721;0.416168;0.290992;0.0154332;0.534932;0.330836;0.00529107;0.407812;0.325891;0.00584387;0.486833;0.390857;-0.00329987;0.432911;0.388593;0.0055355;0.62674;0.642592;-0.118231;0.301246;0.619224;0.127678;0.620202;1.03715;-0.289772;0.207706;1.00707;0.176655;0.588945;1.29768;0.205656;0.21149;1.3134;-0.158003;0.590694;1.38566;-0.0112214;0.194881;1.42299;-0.00517825;0.571273;1.36739;-0.00599429;0.237651;1.41599;0.00595292;0.55793;1.34283;0.00507296;0.255488;1.38471;-0.000457375;0.553091;1.2381;0.264982;0.323078;1.21536;0.550662
0.460899;0.331433;0.00150305;0.482342;0.289524;0.00211457;0.496758;0.289376;-0.00663775;0.512102;0.289989;0.00628189;0.44481;0.291136;-0.00613205;0.430844;0.292006;0.00328703;0.416371;0.293516;0.0152833;0.537428;0.327651;0.00520307;0.405235;0.330147;0.00564508;0.492494;0.391484;-0.00298923;0.436773;0.391559;0.00582863;0.632806;0.643113;-0.108781;0.299702;0.625905;0.118431;0.630165;1.0514;-0.336592;0.204855;1.0223;0.12826;0.593308;1.26688;0.177406;0.224586;1.32044;-0.142165;0.588266;1.3416;-0.0113426;0.214716;1.43028;-0.00500828;0.576002;1.31324;-0.0062744;0.257096;1.4161;0.00652163;0.56531;1.29321;0.00501952;0.273834;1.38335;-0.000862495;0.561614;1.24371;0.284809;0.323733;1.22362;0.544206
0.458695;0.332926;0.0010534;0.47988;0.291636;0.00228423;0.494255;0.291367;-0.00689939;0.509559;0.291851;0.00619712;0.443918;0.292985;-0.00624195;0.429995;0.293969;0.00293607;0.416524;0.295668;0.0146355;0.53502;0.327838;0.00515493;0.406576;0.331003;0.00493454;0.490577;0.38915;-0.00375974;0.435943;0.390441;0.00577875;0.633126;0.622;-0.122344;0.311816;0.60981;0.131129;0.623963;1.01832;-0.331589;0.228324;0.996389;0.130293;0.579318;1.28868;0.173564;0.245867;1.28102;-0.209186;0.578607;1.38397;-0.011311;0.236528;1.38926;-0.00510637;0.554443;1.36442;-0.0063316;0.275065;1.3704;0.00624942;0.543051;1.33632;0.00430325;0.288705;1.33876;1.46573e-05;0.57384;1.20518;0.278277;0.345616;1.18782;0.563725
0.457965;0.33091;0.00153091;0.482043;0.288778;-0.000155172;0.497192;0.289404;-0.00792557;0.512327;0.290703;0.00371303;0.444616;0.288579;-0.00704865;0.4304;0.288666;0.00355948;0.416643;0.289445;0.0138087;0.538096;0.328156;0.00382218;0.40788;0.324124;0.00388138;0.489434;0.390837;-0.00323202;0.434045;0.388548;0.00644924;0.627824;0.620951;-0.136755;0.316766;0.609446;0.146346;0.629998;1.07118;-0.606695;0.216006;1.01903;-0.199627;0.514486;1.06641;0.0931828;0.274334;0.970231;-0.38244;0.48088;1.08793;-0.0104934;0.283527;0.984088;-0.00500251;0.471538;1.03498;-0.00829558;0.309382;0.924509;0.00696355;0.473541;1.02968;0.00279356;0.315399;0.931496;0.00202209;0.566513;1.21007;0.347393;0.338467;1.19391;0.644583
