nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.525277;0.164795;3.20484e-05;0.538812;0.105985;0.00330235;0.554576;0.103343;-0.00673515;0.569492;0.101993;0.00646396;0.499319;0.109155;-0.00551308;0.482617;0.109341;0.00305348;0.466354;0.109506;0.0117127;0.583131;0.120714;0.00425324;0.442696;0.13129;0.00336758;0.553659;0.211563;-0.00215752;0.494844;0.215671;0.00616188;0.675835;0.392586;-0.0179055;0.348689;0.409109;0.0326528;0.690753;0.793921;0.00944707;0.339908;0.812221;0.154668;0.714064;1.10543;0.144452;0.395776;1.12465;-0.126547;0.735697;1.20067;-0.00972856;0.392618;1.2311;-0.00548562;0.716345;1.20036;-0.00635755;0.429356;1.22306;0.00601083;0.691063;1.17283;0.00286124;0.44178;1.1912;-0.00201334;0.651626;0.92213;0.414353;0.434521;0.943936;0.503111
0.52495;0.167065;6.9401e-05;0.538467;0.108926;0.00331059;0.554247;0.106494;-0.00677956;0.570027;0.104062;0.00672447;0.498859;0.112194;-0.00516473;0.482094;0.112852;0.00255137;0.465769;0.11346;0.0118513;0.58532;0.124323;0.00484107;0.442772;0.136839;0.00343971;0.555011;0.213936;-0.00170866;0.495194;0.219513;0.00648345;0.682738;0.393019;-0.0343764;0.352916;0.401153;0.0494712;0.700127;0.794738;0.00945489;0.3421;0.796663;0.161415;0.715069;1.10619;0.155906;0.384404;1.11505;-0.111999;0.733825;1.2034;-0.00950998;0.376276;1.22162;-0.00539886;0.709679;1.19861;-0.00621144;0.413249;1.21865;0.00591533;0.686827;1.16978;0.00252727;0.428915;1.1829;-0.00196948;0.652006;0.913426;0.419348;0.431435;0.922281;0.535038
0.526818;0.165761;0.000308441;0.541749;0.104211;0.00310891;0.558417;0.102098;-0.00656517;0.575084;0.0999857;0.00693658;0.500396;0.106641;-0.00531679;0.48318;0.106294;0.00272374;0.465963;0.105946;0.0118991;0.590106;0.120602;0.00448797;0.442708;0.128719;0.00386206;0.557221;0.215117;-0.00162324;0.495603;0.218099;0.00634163;0.679762;0.393639;-0.0261644;0.349899;0.404842;0.0424793;0.696501;0.793612;0.019355;0.340305;0.807789;0.177511;0.711306;1.08963;0.139433;0.385043;1.12247;-0.0962937;0.727682;1.18101;-0.0094299;0.37775;1.22725;-0.00518266;0.70791;1.17273;-0.00641041;0.412787;1.22161;0.00617999;0.685611;1.14712;0.00286474;0.428106;1.18888;-0.00182786;0.644617;0.917421;0.453846;0.426869;0.930551;0.561695
0.531435;0.169337;2.1237e-05;0.545878;0.107838;0.00321509;0.561702;0.105352;-0.00661991;0.578433;0.103424;0.00680619;0.503504;0.109871;-0.00529869;0.486701;0.109918;0.00268212;0.469017;0.110033;0.0117082;0.591548;0.122531;0.00481228;0.443309;0.131526;0.00386363;0.559839;0.218075;-0.001542;0.498946;0.221545;0.00636808;0.68236;0.391579;-0.0274731;0.351026;0.411646;0.0434106;0.698455;0.787812;0.0176071;0.342992;0.812897;0.183577;0.715204;1.08588;0.139974;0.376977;1.12221;-0.107188;0.732923;1.17884;-0.0092658;0.367505;1.22105;-0.00536768;0.712353;1.17289;-0.0062508;0.39832;1.2174;0.00646468;0.688415;1.14834;0.00290807;0.414849;1.18719;-0.00202495;0.655107;0.925768;0.430077;0.434753;0.945394;0.535167
0.534552;0.167747;0.000158217;0.547323;0.105807;0.00336838;0.564066;0.103421;-0.00668142;0.580809;0.101036;0.00682667;0.50491;0.109619;-0.00503527;0.487628;0.110168;0.00266116;0.469904;0.110762;0.0114539;0.593491;0.123064;0.00532923;0.443671;0.135605;0.00384216;0.563805;0.21834;-0.00110406;0.501461;0.222978;0.00641859;0.683078;0.395854;-0.025785;0.354289;0.415154;0.0421635;0.697647;0.797077;0.0204178;0.346032;0.821293;0.182598;0.714207;1.09961;0.156481;0.376941;1.14379;-0.0903029;0.73403;1.19096;-0.00935122;0.364863;1.2448;-0.00522548;0.712449;1.18565;-0.00651888;0.397661;1.24388;0.00657075;0.688945;1.16034;0.00263868;0.415525;1.21171;-0.00197296;0.64968;0.899319;0.494895;0.433102;0.916961;0.585198
0.536297;0.168325;0.000268792;0.548644;0.106576;0.00329302;0.565397;0.103802;-0.00673494;0.581293;0.101738;0.00694617;0.507921;0.109615;-0.00522867;0.490614;0.109912;0.00263165;0.473307;0.110209;0.0118286;0.594576;0.120752;0.00469541;0.447636;0.132103;0.00380204;0.564223;0.21697;-0.00146212;0.503595;0.221803;0.00670724;0.68576;0.392976;-0.0214133;0.353278;0.406525;0.0368431;0.702539;0.78939;0.0222721;0.338489;0.812101;0.173633;0.719086;1.08097;0.135627;0.382206;1.13534;-0.0910827;0.736562;1.17414;-0.00954319;0.375085;1.24463;-0.00528061;0.716594;1.16457;-0.00635404;0.412185;1.24002;0.00625363;0.693244;1.13889;0.00282036;0.427979;1.20575;-0.00213475;0.652636;0.925267;0.441895;0.43257;0.940052;0.530097
0.52955;0.164858;0.000502456;0.54567;0.104648;0.00329306;0.562455;0.10194;-0.00688439;0.579267;0.0998618;0.00679074;0.503547;0.107636;-0.0047445;0.486655;0.107823;0.00290115;0.469319;0.108049;0.0117641;0.59707;0.121102;0.00465433;0.447604;0.130789;0.00426242;0.561019;0.214652;-0.00127543;0.499372;0.218686;0.00587861;0.687059;0.396735;-0.0310196;0.357433;0.405464;0.0464462;0.701114;0.790219;0.0155514;0.336897;0.801289;0.192555;0.724231;1.08299;0.15593;0.367801;1.10983;-0.118973;0.744873;1.17103;-0.00962774;0.357356;1.2094;-0.00560115;0.728653;1.1661;-0.00596184;0.391973;1.20769;0.00602427;0.704539;1.14287;0.00281098;0.409795;1.17706;-0.00144711;0.648919;0.922475;0.435717;0.428313;0.932585;0.550473
0.537662;0.159933;0.000107593;0.551924;0.101456;0.00337523;0.567899;0.0998494;-0.00694154;0.584764;0.0981886;0.00633702;0.510179;0.104633;-0.00485699;0.492832;0.105057;0.0032241;0.47593;0.105454;0.011597;0.597908;0.12081;0.00498554;0.449996;0.131091;0.0040336;0.566788;0.2107;-0.00139057;0.50505;0.215096;0.00588189;0.688131;0.397018;-0.0265154;0.356458;0.409634;0.0407459;0.704492;0.792308;-0.0107007;0.332718;0.80357;0.167987;0.733065;1.09063;0.141082;0.364553;1.10676;-0.151421;0.757132;1.18032;-0.00969314;0.353344;1.20746;-0.00568039;0.739284;1.17888;-0.00617026;0.3897;1.20272;0.00643777;0.71368;1.15638;0.00274118;0.406672;1.17509;-0.00165635;0.659236;0.915345;0.446037;0.436835;0.935229;0.544317
0.532424;0.156002;0.000401454;0.546598;0.0974948;0.0031751;0.562565;0.0953204;-0.00685821;0.578562;0.093778;0.00678514;0.505717;0.101437;-0.00502796;0.489245;0.10239;0.00281322;0.472774;0.103343;0.0125473;0.594846;0.116969;0.00518802;0.451256;0.129544;0.0041546;0.562505;0.206432;-0.00145881;0.502486;0.211584;0.00602312;0.690346;0.39727;-0.0348513;0.358361;0.409598;0.0494933;0.711991;0.795163;-0.00702523;0.322111;0.80101;0.179044;0.730413;1.08797;0.146531;0.353532;1.12304;-0.119697;0.748082;1.1777;-0.00965926;0.341828;1.23337;-0.00546291;0.729886;1.17056;-0.00610663;0.384547;1.23052;0.00640239;0.707291;1.14607;0.00286542;0.402472;1.19451;-0.00180763;0.661183;0.909262;0.443379;0.441162;0.929207;0.560293
0.530827;0.150963;0.000535113;0.547813;0.0964063;0.00304408;0.563849;0.094793;-0.00689411;0.579027;0.093903;0.00692551;0.50804;0.0978603;-0.00497869;0.491908;0.0975728;0.00279462;0.475809;0.0979189;0.0127974;0.597247;0.118176;0.00518453;0.455146;0.123556;0.00416577;0.561156;0.202671;-0.00132579;0.50172;0.204829;0.00595908;0.688109;0.396835;-0.0485379;0.360099;0.399905;0.0620749;0.716041;0.796436;-0.0244922;0.31775;0.790658;0.180196;0.732757;1.09656;0.16758;0.348007;1.11998;-0.10517;0.748049;1.18799;-0.00978991;0.33707;1.23315;-0.00547063;0.727944;1.17982;-0.0060777;0.381235;1.22998;0.00622423;0.706957;1.15392;0.0027545;0.399071;1.19253;-0.00175057;0.655216;0.905704;0.423806;0.436558;0.920059;0.577877
