nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.540672;0.376475;0.00162776;0.562496;0.312806;-7.47954e-05;0.581703;0.311219;-0.00709647;0.600004;0.309801;0.00579355;0.514567;0.317738;-0.00658958;0.495813;0.319241;0.00447278;0.476606;0.320827;0.0137289;0.62783;0.342007;0.00291998;0.454514;0.356368;0.00459772;0.579659;0.440038;-0.00154655;0.509292;0.446499;0.00743916;0.745605;0.652465;-0.0732208;0.350613;0.67637;0.0905836;0.84414;1.08509;-0.365076;0.258169;1.09648;-0.0913832;0.732063;1.1897;-0.054373;0.393496;1.19072;-0.276662;0.700883;1.25182;-0.0113301;0.426257;1.25674;-0.00442637;0.673676;1.18608;-0.00761764;0.464706;1.19852;0.0066931;0.67557;1.17656;0.00210074;0.463999;1.19079;0.000131519;0.692727;1.25333;0.485701;0.413135;1.26441;0.70365
0.542229;0.366433;0.00167867;0.564713;0.306375;0.000696179;0.583377;0.3048;-0.00708671;0.602046;0.303888;0.00660891;0.516659;0.31166;-0.0064849;0.497994;0.313235;0.00532141;0.479334;0.315474;0.0140056;0.6303;0.340698;0.00330445;0.457174;0.353616;0.00531776;0.579548;0.433002;-0.00185921;0.510021;0.438572;0.00793653;0.752757;0.646507;-0.0742299;0.352798;0.669735;0.0884689;0.859196;1.07271;-0.440244;0.227285;1.10897;-0.10796;0.721848;1.20202;-0.0558767;0.342097;1.24556;-0.276611;0.688732;1.27816;-0.0119559;0.3622;1.32099;-0.00481079;0.650034;1.21492;-0.00726178;0.409478;1.26858;0.00712318;0.654641;1.20557;0.00294884;0.413627;1.26055;8.04686e-05;0.688627;1.26222;0.473857;0.398213;1.25943;0.661066
0.530053;0.371533;0.00118266;0.556949;0.30965;0.000844693;0.57591;0.308158;-0.00671686;0.595809;0.307365;0.00737153;0.508101;0.315024;-0.00679823;0.489613;0.31653;0.00554437;0.471125;0.318035;0.0148392;0.62938;0.34534;0.00355261;0.454503;0.35596;0.00540382;0.572219;0.438706;-0.00279253;0.500651;0.443448;0.00747879;0.759658;0.650677;-0.0939177;0.357251;0.678532;0.10889;0.861501;1.0953;-0.445976;0.233745;1.11958;-0.0374901;0.715213;1.26498;-0.0192777;0.331378;1.28527;-0.281694;0.680856;1.35292;-0.0120652;0.34727;1.36922;-0.00456791;0.640983;1.2912;-0.00663919;0.392013;1.31794;0.00749729;0.645901;1.27787;0.00377823;0.397842;1.30733;0.000512271;0.703779;1.27005;0.460179;0.416274;1.27551;0.703524
0.533433;0.381542;0.00120657;0.559368;0.315155;0.00073376;0.578515;0.313557;-0.00672684;0.598623;0.312628;0.00748632;0.509595;0.320536;-0.00689894;0.490445;0.321454;0.0054099;0.471298;0.323052;0.0145162;0.63236;0.34763;0.003543;0.45236;0.358703;0.00524903;0.575497;0.447091;-0.00277791;0.502256;0.45208;0.00803629;0.757792;0.655306;-0.0933826;0.352749;0.67324;0.109844;0.851536;1.10709;-0.452546;0.234285;1.11606;-0.0233756;0.705974;1.26826;-0.0225525;0.340723;1.29319;-0.29212;0.672019;1.3545;-0.0120993;0.357065;1.38154;-0.00452696;0.633311;1.28959;-0.00685404;0.404645;1.33055;0.00722817;0.638017;1.27591;0.00333723;0.408872;1.31687;0.000622457;0.694539;1.27794;0.485111;0.405262;1.27469;0.7303
0.535592;0.375546;0.00122914;0.561256;0.309768;0.000868159;0.580648;0.307981;-0.00700205;0.601004;0.306897;0.00750165;0.511798;0.315255;-0.00664627;0.492895;0.31636;0.00554865;0.473987;0.318154;0.01464;0.633705;0.341133;0.00350292;0.454838;0.353708;0.00573032;0.576792;0.440912;-0.00251317;0.504561;0.446759;0.00782715;0.762329;0.647553;-0.0952581;0.355677;0.670618;0.110943;0.862791;1.09827;-0.447646;0.239583;1.11958;-0.010681;0.72398;1.26853;-0.0176527;0.326521;1.2931;-0.288499;0.691367;1.35763;-0.0120587;0.338042;1.37595;-0.00499227;0.652085;1.29505;-0.00668412;0.381521;1.32559;0.00740324;0.65511;1.27856;0.00349156;0.389351;1.31468;0.000592808;0.696752;1.28191;0.466298;0.406562;1.2791;0.713618
0.541065;0.366818;0.0013356;0.566574;0.302445;0.000771128;0.585199;0.301359;-0.0072176;0.604797;0.300985;0.00742809;0.517063;0.306504;-0.00692676;0.498445;0.306894;0.00577102;0.47933;0.307972;0.0149404;0.635855;0.337031;0.00332944;0.458958;0.343168;0.00548017;0.5802;0.433653;-0.00261954;0.508163;0.436644;0.00822026;0.759714;0.647026;-0.088785;0.351437;0.672335;0.10397;0.867754;1.09471;-0.454089;0.240392;1.13312;-0.0469948;0.727236;1.26518;-0.0378408;0.344817;1.30345;-0.280683;0.696129;1.35524;-0.0121314;0.359319;1.3873;-0.00476454;0.652546;1.29321;-0.00722909;0.405771;1.3379;0.0074013;0.656578;1.27934;0.00367195;0.41076;1.32684;0.000198283;0.695695;1.28834;0.468785;0.402717;1.29187;0.70881
0.538892;0.373414;0.00126435;0.566053;0.311083;0.000978005;0.584878;0.310631;-0.00690698;0.603698;0.310883;0.00727458;0.517488;0.314658;-0.0068799;0.499159;0.315116;0.00538629;0.480829;0.315575;0.0150135;0.636157;0.345837;0.0034206;0.462275;0.349844;0.00533598;0.578079;0.439453;-0.00288855;0.507728;0.442031;0.00824195;0.761959;0.645505;-0.101039;0.357629;0.668962;0.11565;0.860083;1.08569;-0.457649;0.242203;1.11967;-0.0316522;0.720334;1.24584;-0.0229381;0.340173;1.28441;-0.289497;0.689048;1.33277;-0.0119798;0.353994;1.36631;-0.0048523;0.648847;1.27024;-0.00703854;0.39939;1.31761;0.00744097;0.652893;1.25761;0.00378626;0.404904;1.30782;8.89371e-05;0.704167;1.29352;0.449724;0.411921;1.29524;0.710247
0.538122;0.376729;0.00153781;0.564583;0.309869;0.000915365;0.583579;0.307717;-0.00705734;0.603575;0.306274;0.00755335;0.516595;0.315607;-0.00685425;0.498599;0.317047;0.00479212;0.480103;0.319199;0.0154035;0.640584;0.336808;0.00300142;0.466621;0.350496;0.0059013;0.580646;0.438541;-0.0030893;0.511162;0.445011;0.00827197;0.771719;0.648084;-0.10067;0.363799;0.663436;0.116604;0.847935;1.09806;-0.444671;0.242055;1.12286;-0.0190904;0.711038;1.25177;-0.0211213;0.343123;1.29055;-0.292698;0.680086;1.3357;-0.0121853;0.359663;1.37443;-0.00504598;0.64506;1.27175;-0.00689722;0.405629;1.32319;0.00699876;0.648052;1.25753;0.00382549;0.411121;1.31038;0.000387138;0.69607;1.30867;0.45317;0.401615;1.29617;0.705375
0.53563;0.369913;0.00107098;0.562126;0.307283;0.000559203;0.580381;0.30612;-0.00643775;0.599628;0.305731;0.00756406;0.514436;0.311159;-0.00693174;0.496705;0.311631;0.00531934;0.47845;0.312794;0.0155154;0.632194;0.337027;0.00283751;0.462412;0.344317;0.00589238;0.574924;0.433255;-0.00366149;0.506996;0.436746;0.00800668;0.759609;0.642769;-0.0953529;0.356084;0.663934;0.112615;0.840819;1.08494;-0.438067;0.251551;1.12332;-0.00413375;0.718345;1.23377;-0.0433135;0.336829;1.28349;-0.262537;0.68981;1.31572;-0.0122195;0.350364;1.36343;-0.00497552;0.654073;1.25185;-0.00700288;0.390217;1.31232;0.00707401;0.654461;1.23748;0.0043274;0.397604;1.30121;8.07682e-05;0.699141;1.30759;0.43402;0.407053;1.30748;0.682393
0.538156;0.369444;0.00110927;0.563361;0.302101;0.000699151;0.582758;0.300041;-0.00677324;0.603173;0.298713;0.00731542;0.514867;0.307615;-0.00723968;0.495982;0.308952;0.00494738;0.477607;0.310293;0.0153325;0.636759;0.330122;0.00314942;0.460669;0.343575;0.00576862;0.580321;0.432838;-0.00320722;0.508862;0.438939;0.00839579;0.770541;0.643725;-0.1011;0.356123;0.66445;0.11896;0.846727;1.10576;-0.453899;0.254706;1.13412;-0.0233296;0.715659;1.25157;-0.0306809;0.348148;1.28564;-0.283209;0.683783;1.33121;-0.0121512;0.362202;1.36411;-0.00513076;0.649279;1.26568;-0.00731144;0.403185;1.31065;0.00738718;0.652384;1.25119;0.00386103;0.410878;1.29763;3.97415e-05;0.703213;1.31826;0.456961;0.404711;1.31211;0.71542
