nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.480651;0.356699;0.00155584;0.501744;0.310093;0.00064957;0.517767;0.309139;-0.011253;0.533795;0.308946;0.00386298;0.462233;0.314368;-0.00499204;0.447283;0.316068;0.00518821;0.432338;0.318528;0.0143333;0.562834;0.340511;0.00223097;0.422916;0.351316;0.00862337;0.515196;0.415552;-0.00139305;0.457515;0.419287;0.00543865;0.675678;0.627901;-0.148793;0.344414;0.626576;0.158276;0.754077;1.05248;-0.37639;0.235778;1.04505;-0.207028;0.755056;1.2166;0.0689202;0.213982;0.884225;-0.467215;0.758678;1.28647;-0.0113698;0.20365;0.853955;-0.00923276;0.739218;1.24871;-0.00767171;0.22147;0.79599;0.00698301;0.729502;1.23211;0.00102679;0.240848;0.820072;0.00254193;0.625207;1.30327;0.264995;0.372898;1.282;0.604788
0.48246;0.359775;0.000833727;0.502155;0.31236;0.000865655;0.515874;0.312024;-0.00921992;0.530636;0.312469;0.00538858;0.463625;0.314198;-0.00586235;0.449379;0.314518;0.00584999;0.435122;0.315588;0.0145673;0.553452;0.338662;0.00275815;0.421001;0.342918;0.0077533;0.512244;0.413933;-0.00296619;0.45737;0.415278;0.00685932;0.659118;0.60965;-0.114891;0.331344;0.625266;0.125701;0.727831;1.0243;-0.444797;0.231082;1.05282;-0.0963024;0.720546;1.1591;0.149496;0.24571;1.06226;-0.284491;0.719696;1.21609;-0.0115929;0.24331;1.08169;-0.00726305;0.706547;1.17819;-0.00700351;0.267201;1.03591;0.00662038;0.696115;1.17037;0.00312274;0.281828;1.04535;0.000595298;0.631218;1.27793;0.290819;0.381671;1.28241;0.55949
0.480958;0.352884;0.00141206;0.502596;0.309723;0.00194223;0.517207;0.309164;-0.0104483;0.532861;0.308565;0.00488156;0.464024;0.313428;-0.00555854;0.449963;0.315451;0.00569312;0.435902;0.317474;0.0144938;0.561671;0.340883;0.00325641;0.425575;0.35129;0.00743042;0.513898;0.410295;-0.00256313;0.458614;0.413896;0.00606831;0.671538;0.627807;-0.136765;0.339764;0.618224;0.146031;0.744022;1.03648;-0.354702;0.234028;1.01886;-0.0826073;0.741407;1.28463;0.192098;0.251372;1.05236;-0.348699;0.750341;1.37044;-0.0117696;0.247759;1.0822;-0.00798505;0.729075;1.35046;-0.00654953;0.27831;1.04093;0.00605607;0.715115;1.3302;0.00181478;0.291989;1.04635;0.00121427;0.62342;1.28617;0.26544;0.369749;1.26469;0.588822
0.482974;0.354651;0.00111212;0.504258;0.309785;0.00249221;0.51818;0.310192;-0.0109036;0.53364;0.311378;0.0054478;0.467098;0.310899;-0.00484741;0.453176;0.310492;0.00676945;0.439232;0.311552;0.0146591;0.556968;0.339207;0.00258891;0.428011;0.33837;0.00880028;0.512613;0.409811;-0.00256272;0.458458;0.408961;0.00506903;0.664342;0.619682;-0.129716;0.333141;0.620268;0.137968;0.739815;1.03716;-0.2535;0.229532;1.04278;-0.065438;0.78394;1.33926;0.22423;0.222143;1.0543;-0.356653;0.808323;1.43682;-0.0113952;0.216216;1.07174;-0.0089534;0.789823;1.43188;-0.00637457;0.239541;1.0284;0.00617712;0.768484;1.40924;0.00224238;0.254347;1.0391;0.00108392;0.62605;1.27008;0.231193;0.379586;1.26141;0.548261
0.481658;0.356235;0.0014148;0.503427;0.312211;0.00253723;0.517781;0.312029;-0.00974042;0.53316;0.311834;0.0058074;0.465506;0.314879;-0.00509049;0.45167;0.315784;0.00592355;0.437838;0.317418;0.014899;0.561034;0.342104;0.00331422;0.427782;0.348898;0.00787804;0.514306;0.411964;-0.00254725;0.459468;0.414848;0.00553105;0.67356;0.627226;-0.130406;0.3398;0.625628;0.138545;0.745803;1.02879;-0.319639;0.240823;1.02937;0.00834664;0.769035;1.29974;0.231976;0.246726;1.15325;-0.285035;0.784971;1.38849;-0.011751;0.238853;1.20584;-0.00783799;0.766434;1.3756;-0.00592355;0.269914;1.17191;0.00607174;0.748886;1.35687;0.00293174;0.284249;1.16881;0.000206513;0.633526;1.27375;0.243382;0.383251;1.25943;0.561356
0.482978;0.359738;0.00183503;0.504744;0.314815;0.00180921;0.519996;0.31475;-0.0120906;0.535249;0.314684;0.00444856;0.467125;0.316422;-0.00409109;0.452892;0.317206;0.00657751;0.439168;0.318711;0.014426;0.561747;0.343493;0.00215676;0.429568;0.346952;0.0094373;0.51411;0.416005;-0.00166126;0.459712;0.416961;0.00457169;0.670146;0.634427;-0.138795;0.33607;0.61055;0.148201;0.739166;1.0564;-0.222047;0.215886;0.996462;-0.125958;0.771248;1.32091;0.171333;0.180068;0.888155;-0.524168;0.787704;1.40905;-0.011034;0.16783;0.870854;-0.00981861;0.771404;1.39466;-0.00657751;0.190074;0.811466;0.00555673;0.754066;1.37015;0.000945816;0.206894;0.83164;0.00293128;0.601337;1.27247;0.229673;0.354179;1.23882;0.55518
0.486522;0.357884;0.000751875;0.506079;0.312099;0.00255253;0.520735;0.31188;-0.011187;0.534887;0.311618;0.00499871;0.468626;0.314017;-0.00526263;0.454473;0.314278;0.00685796;0.440291;0.315256;0.0142201;0.55799;0.339396;0.00314931;0.427006;0.343603;0.00863449;0.515584;0.412734;-0.00278494;0.460988;0.413946;0.0051287;0.667625;0.621459;-0.120127;0.333741;0.634676;0.131093;0.727829;1.04954;-0.204077;0.229204;1.05267;-0.0871012;0.745039;1.36847;0.196892;0.201237;0.995757;-0.447229;0.76485;1.47642;-0.010998;0.194752;0.993782;-0.00912294;0.737728;1.47273;-0.00663737;0.213714;0.937892;0.00646405;0.717763;1.44234;0.0021665;0.23024;0.953631;0.00185531;0.625272;1.25939;0.251346;0.381274;1.26068;0.530927
0.484041;0.3583;0.00145036;0.506262;0.313738;0.00205655;0.521303;0.313503;-0.0117439;0.536345;0.313269;0.00444215;0.468174;0.316471;-0.00405434;0.453645;0.318124;0.00627933;0.439617;0.319769;0.0141334;0.562658;0.344237;0.00270681;0.429821;0.349874;0.00896264;0.516073;0.415566;-0.00153556;0.460431;0.41786;0.00430896;0.677236;0.636983;-0.150171;0.340108;0.615853;0.159197;0.748678;1.05806;-0.186272;0.226609;0.983471;-0.102475;0.777168;1.3714;0.145408;0.182253;0.8886;-0.55255;0.799039;1.47661;-0.0107332;0.163603;0.876054;-0.00998112;0.770907;1.46991;-0.00640077;0.188766;0.822888;0.00562907;0.75061;1.43885;0.000498713;0.20697;0.842573;0.002887;0.608917;1.27133;0.213975;0.360461;1.23955;0.567091
0.485579;0.350344;0.000985977;0.505701;0.307921;0.0022367;0.520185;0.307644;-0.0116409;0.534118;0.308743;0.00475371;0.468742;0.308555;-0.00459798;0.454257;0.308832;0.00700404;0.440242;0.309856;0.014413;0.554962;0.337362;0.0029589;0.426643;0.338597;0.00887671;0.514331;0.40656;-0.00231067;0.45993;0.406528;0.00460966;0.665663;0.621513;-0.119913;0.330215;0.622735;0.130316;0.734051;1.04358;-0.169187;0.212868;1.02093;-0.123526;0.750656;1.36006;0.168066;0.172557;0.91553;-0.518774;0.768355;1.46936;-0.0109791;0.164153;0.900671;-0.00954636;0.740656;1.46291;-0.00670036;0.183555;0.838315;0.00612415;0.721912;1.43162;0.00170624;0.201247;0.858167;0.0026708;0.61752;1.24167;0.237834;0.374703;1.23529;0.514289
0.484362;0.348596;0.00151473;0.5047;0.306408;0.00208796;0.519548;0.30644;-0.0113987;0.534396;0.305769;0.0045123;0.467577;0.309845;-0.00453937;0.453718;0.311223;0.00647653;0.439858;0.313304;0.0140202;0.561087;0.338207;0.00311647;0.430913;0.346367;0.00873075;0.51647;0.405682;-0.00168583;0.461531;0.408377;0.00453164;0.67559;0.631277;-0.131278;0.341527;0.622096;0.140929;0.742448;1.04672;-0.206878;0.231222;1.01885;-0.130907;0.763903;1.3424;0.144889;0.19766;0.934307;-0.478343;0.783591;1.4424;-0.0109115;0.182826;0.921604;-0.00929527;0.756875;1.43389;-0.00654613;0.205152;0.870973;0.00595067;0.739089;1.40429;0.00101304;0.22295;0.889313;0.00243981;0.617496;1.25902;0.2315;0.368573;1.23736;0.538476
