nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.49076;0.369569;0.00215019;0.518817;0.320467;0.00387762;0.535875;0.321714;-0.00794537;0.553949;0.322677;0.00783614;0.477488;0.319235;-0.00466042;0.461646;0.319151;0.00264981;0.445903;0.319789;0.0168293;0.583502;0.360966;0.00774309;0.436159;0.356278;0.00587407;0.526132;0.434753;-0.000795953;0.464088;0.432544;0.00631503;0.693603;0.661975;-0.169846;0.351709;0.685278;0.174507;0.753628;1.08202;-0.199233;0.322898;1.1346;0.274706;0.735816;1.44272;0.372834;0.311981;1.49938;-0.12389;0.744047;1.556;-0.0104293;0.292812;1.60529;-0.0049517;0.709952;1.54599;-0.00710795;0.314862;1.60064;0.00684499;0.695624;1.51096;0.00534411;0.339023;1.56538;-0.000958784;0.655627;1.27446;0.336327;0.415761;1.27231;0.721847
0.482445;0.365526;0.00189853;0.513943;0.314514;0.00203852;0.532804;0.314888;-0.00864864;0.551687;0.316006;0.00665405;0.468401;0.314972;-0.00510907;0.451652;0.315217;0.00500689;0.434925;0.316205;0.014804;0.587468;0.357829;0.00430388;0.428214;0.355327;0.00736524;0.524737;0.433029;-0.00198845;0.45613;0.432615;0.0034803;0.700634;0.682534;-0.188472;0.346192;0.648376;0.202466;0.750085;1.12048;-0.294283;0.276903;1.03674;0.201289;0.741434;1.46951;0.183763;0.27044;1.24564;-0.370665;0.759198;1.5757;-0.0118612;0.253795;1.32109;-0.00743063;0.717207;1.57222;-0.00689112;0.283417;1.29551;0.00582434;0.696475;1.54366;0.00232565;0.299404;1.28712;0.00234609;0.608766;1.26585;0.40938;0.362441;1.20445;0.862706
0.487951;0.367102;0.000898309;0.516376;0.316254;0.0025464;0.533751;0.315847;-0.00764126;0.551611;0.316238;0.00810014;0.474225;0.317784;-0.00573197;0.458418;0.318357;0.00561725;0.443135;0.318986;0.0158643;0.585504;0.351981;0.00381858;0.438209;0.35287;0.00726431;0.527322;0.428852;-0.00279633;0.464735;0.42897;0.00401934;0.702876;0.682252;-0.131831;0.353683;0.672278;0.147499;0.753749;1.13788;-0.18775;0.302903;1.10071;0.255009;0.734397;1.5083;0.259205;0.274751;1.38793;-0.124489;0.746195;1.62473;-0.0118163;0.254243;1.47851;-0.00675217;0.706525;1.61904;-0.00642029;0.277954;1.46755;0.00615807;0.686113;1.58697;0.00485517;0.298838;1.45031;-8.81536e-05;0.623356;1.31856;0.334855;0.383455;1.29022;0.679674
0.485241;0.36683;0.000855582;0.513986;0.31151;0.0025243;0.531821;0.311324;-0.0074297;0.55018;0.311176;0.00849342;0.469893;0.312757;-0.00481539;0.453627;0.313058;0.00470493;0.437334;0.314102;0.0160131;0.584612;0.345019;0.00385191;0.430919;0.346447;0.00725378;0.525476;0.428692;-0.00250589;0.460464;0.428407;0.00408306;0.701881;0.669066;-0.140215;0.345161;0.658615;0.154616;0.752511;1.12471;-0.197165;0.29865;1.10342;0.269171;0.740821;1.50569;0.239583;0.277016;1.44042;-0.115668;0.756441;1.62467;-0.0120937;0.252797;1.54455;-0.00690193;0.713664;1.61855;-0.00632916;0.280731;1.54062;0.00595685;0.691837;1.58414;0.00485631;0.303142;1.51542;-9.23087e-05;0.62201;1.28221;0.372074;0.377737;1.25091;0.728438
0.488869;0.368765;0.00104212;0.518507;0.317272;0.00253502;0.535782;0.317791;-0.00782995;0.553553;0.319092;0.00808345;0.475595;0.315621;-0.00494738;0.459365;0.315178;0.0052704;0.443658;0.314774;0.0157417;0.585847;0.353504;0.00398244;0.436229;0.346279;0.00774409;0.526413;0.431884;-0.00224472;0.463143;0.427998;0.0037596;0.697871;0.675484;-0.141045;0.34846;0.65736;0.156223;0.751929;1.12216;-0.178727;0.294917;1.07976;0.266521;0.741883;1.48663;0.25697;0.252397;1.35689;-0.153214;0.755619;1.59944;-0.0115057;0.227901;1.44006;-0.00715531;0.716004;1.59355;-0.00630485;0.246625;1.42951;0.00602273;0.694028;1.56362;0.00456713;0.269638;1.41629;0.000253502;0.61861;1.30171;0.33652;0.378414;1.26326;0.695022
0.486056;0.359872;0.00118415;0.515706;0.309283;0.00249079;0.533479;0.309895;-0.00764388;0.55073;0.310468;0.00819103;0.472769;0.309727;-0.00515717;0.456562;0.309234;0.00506325;0.440849;0.309523;0.0161697;0.584931;0.347321;0.00404652;0.433791;0.343972;0.00736621;0.524989;0.423885;-0.00237238;0.461233;0.421252;0.00404243;0.699242;0.674653;-0.144907;0.347607;0.658232;0.158757;0.757645;1.12427;-0.204882;0.294135;1.09037;0.268646;0.73018;1.4914;0.24382;0.262407;1.39018;-0.13367;0.73938;1.60823;-0.0117598;0.239511;1.48371;-0.00679047;0.696863;1.59754;-0.0063209;0.262867;1.47508;0.0060269;0.679251;1.56493;0.0049775;0.284528;1.45589;0.000179281;0.613453;1.31127;0.320912;0.370451;1.27337;0.687818
0.487136;0.357079;0.000970271;0.51663;0.307707;0.00223642;0.534421;0.307874;-0.00809682;0.551656;0.308734;0.00730101;0.474237;0.307484;-0.00579918;0.45801;0.307463;0.00572164;0.442304;0.30749;0.0154182;0.584456;0.346779;0.00388108;0.434932;0.342541;0.00737039;0.525553;0.420961;-0.00289143;0.461788;0.418748;0.00389945;0.699163;0.675367;-0.154101;0.347775;0.655318;0.16938;0.751569;1.12919;-0.21561;0.289782;1.06239;0.254266;0.728257;1.49928;0.209081;0.261937;1.29209;-0.25962;0.74059;1.61807;-0.0118269;0.243657;1.37079;-0.00751322;0.694856;1.61083;-0.00630115;0.268206;1.34925;0.00576653;0.673353;1.57756;0.00416064;0.286927;1.34057;0.00117738;0.614693;1.3279;0.288873;0.370905;1.29032;0.680132
0.485965;0.355408;0.00115136;0.516301;0.306781;0.00199093;0.534036;0.307596;-0.00816343;0.551251;0.308364;0.0067655;0.473444;0.306734;-0.00542463;0.45727;0.306056;0.00553875;0.441585;0.306165;0.0149819;0.584105;0.346188;0.00384533;0.435356;0.341299;0.007601;0.524462;0.419745;-0.00270824;0.460289;0.417081;0.00335422;0.699664;0.670034;-0.164459;0.35182;0.652117;0.179979;0.753811;1.10817;-0.204106;0.304512;1.04343;0.259665;0.725879;1.46252;0.181283;0.252665;1.2143;-0.303877;0.736483;1.57942;-0.0113383;0.2292;1.2732;-0.00791075;0.68975;1.57234;-0.0063987;0.246043;1.24643;0.00572622;0.670338;1.53793;0.00370065;0.266086;1.24224;0.00185949;0.614443;1.30852;0.288227;0.37264;1.26796;0.692787
0.484163;0.363892;0.00075083;0.511638;0.313234;0.00237991;0.528859;0.312705;-0.00768395;0.545562;0.312124;0.00762709;0.469344;0.315004;-0.00577109;0.453678;0.315687;0.00577109;0.437976;0.317107;0.0153517;0.579321;0.34657;0.00392523;0.433215;0.35073;0.00728595;0.523409;0.424816;-0.0030155;0.461336;0.426123;0.00392929;0.698919;0.673298;-0.128402;0.351897;0.662147;0.145167;0.742642;1.12448;-0.170249;0.301666;1.07371;0.254204;0.724569;1.49622;0.23302;0.27118;1.32565;-0.185455;0.737717;1.61164;-0.0114285;0.252643;1.40683;-0.00700166;0.696157;1.60904;-0.00659959;0.27321;1.39106;0.00590105;0.674844;1.57581;0.00427653;0.292597;1.37815;0.000596501;0.623446;1.30396;0.339718;0.385245;1.27313;0.671119
0.482782;0.359642;0.00122187;0.510858;0.308233;0.00260787;0.528524;0.307864;-0.00735148;0.546685;0.308265;0.00837274;0.466694;0.309155;-0.00517926;0.450583;0.309621;0.00535353;0.434472;0.310088;0.0164213;0.579814;0.345051;0.00395132;0.425601;0.344978;0.00698269;0.522321;0.424154;-0.00249642;0.457428;0.423776;0.00450247;0.701617;0.670236;-0.123006;0.334472;0.671576;0.137206;0.773907;1.11859;-0.171054;0.284955;1.11303;0.25483;0.748015;1.48473;0.199325;0.272916;1.43425;-0.142393;0.757695;1.60793;-0.011858;0.251015;1.53774;-0.0066909;0.712364;1.59622;-0.00629779;0.282993;1.52793;0.00604247;0.693723;1.56108;0.00537379;0.305017;1.50421;-0.000420967;0.630023;1.30453;0.356113;0.375617;1.28709;0.677989
