nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.517644;0.330406;0.000546974;0.533965;0.273098;0.00269851;0.550112;0.271093;-0.00554562;0.566274;0.269662;0.00648149;0.493119;0.275258;-0.00495755;0.476508;0.274984;0.0026827;0.459507;0.275307;0.011047;0.584684;0.292304;0.00416712;0.437866;0.29949;0.00310163;0.548085;0.379482;-0.00218315;0.487018;0.382711;0.00682295;0.662865;0.525469;-0.0382439;0.352723;0.559146;0.053673;0.676081;0.87611;-0.0778537;0.326369;0.945286;0.152672;0.664093;1.13017;0.0434544;0.387256;1.24503;-0.191827;0.677822;1.2216;-0.00972539;0.385199;1.35226;-0.00437579;0.646756;1.21057;-0.0060515;0.429264;1.33381;0.00555827;0.626592;1.18284;0.00331979;0.439251;1.29757;-0.00153896;0.630167;0.978756;0.493327;0.426446;1.00911;0.608261
0.52217;0.336795;0.000508955;0.537387;0.27848;0.0031176;0.553477;0.276464;-0.00582204;0.570399;0.274949;0.00653481;0.495032;0.281121;-0.00474026;0.477228;0.280989;0.00236698;0.45945;0.28143;0.0107484;0.585994;0.29829;0.00497365;0.434301;0.307267;0.00320748;0.551145;0.388277;-0.00138139;0.4894;0.391503;0.00707097;0.661438;0.540633;-0.0298987;0.347933;0.567547;0.0460717;0.667289;0.89218;-0.0266943;0.326649;0.95489;0.157138;0.658454;1.14955;0.0672657;0.371718;1.26036;-0.158551;0.671325;1.23929;-0.00924714;0.365354;1.36333;-0.00424195;0.641758;1.22928;-0.00618158;0.40403;1.35066;0.00583465;0.622661;1.19992;0.00308921;0.417767;1.31376;-0.00200113;0.620886;0.995282;0.503004;0.415106;1.016;0.591009
0.522743;0.341888;0.000293344;0.538656;0.282388;0.00332103;0.555546;0.280762;-0.00581101;0.571612;0.278614;0.00625172;0.496792;0.284997;-0.00494849;0.480235;0.284307;0.00228222;0.46289;0.284241;0.0104321;0.589189;0.299316;0.00479739;0.439792;0.306903;0.00280792;0.552455;0.38994;-0.00159126;0.491251;0.39318;0.00680575;0.668196;0.533587;-0.0285577;0.352848;0.561266;0.0447253;0.665601;0.894547;-0.0165327;0.329292;0.94877;0.165504;0.656178;1.16473;0.0648214;0.375496;1.24417;-0.204789;0.671951;1.25782;-0.00912889;0.369377;1.34665;-0.00473128;0.643526;1.25156;-0.00609432;0.409243;1.33155;0.00595896;0.622447;1.2219;0.00286144;0.421907;1.29749;-0.00166996;0.632194;0.988406;0.50326;0.425639;1.01275;0.592308
0.521514;0.338921;0.000315492;0.537687;0.279688;0.0029328;0.553764;0.278383;-0.00580584;0.571425;0.276377;0.00644744;0.495037;0.282;-0.00475538;0.477686;0.281687;0.00226447;0.459933;0.281407;0.010687;0.586857;0.299212;0.00482457;0.434278;0.305281;0.00306961;0.550953;0.389293;-0.00145461;0.488564;0.39206;0.00702614;0.662377;0.533372;-0.0365586;0.346181;0.56189;0.0523847;0.67179;0.888738;-0.0398043;0.32662;0.948853;0.162237;0.658174;1.1525;0.0476796;0.373381;1.25015;-0.182264;0.67073;1.24438;-0.0091019;0.365048;1.35405;-0.00448176;0.63968;1.23428;-0.00601971;0.406526;1.34266;0.00596939;0.620804;1.20599;0.00296897;0.420022;1.30716;-0.0017125;0.623392;0.989009;0.505228;0.415473;1.01276;0.613922
0.521752;0.335225;0.00025234;0.537452;0.276248;0.00309883;0.553513;0.274556;-0.00593039;0.569573;0.272865;0.00645237;0.496428;0.278531;-0.00499964;0.479907;0.278535;0.00235832;0.462983;0.278567;0.0107225;0.584813;0.294155;0.00511284;0.439189;0.301429;0.00316172;0.5508;0.383063;-0.00129157;0.49046;0.386118;0.00681712;0.666382;0.533195;-0.0300859;0.347749;0.559965;0.0460596;0.673389;0.900644;-0.0241366;0.323706;0.950208;0.156165;0.658636;1.17447;0.0741582;0.36063;1.25024;-0.171057;0.670708;1.26762;-0.00893647;0.351229;1.35176;-0.0045154;0.639802;1.25946;-0.00609705;0.390713;1.33984;0.00613164;0.620247;1.22987;0.00285514;0.405652;1.30556;-0.00178604;0.626453;0.988733;0.497876;0.418852;1.01006;0.586826
0.514709;0.32387;0.000466114;0.532127;0.268659;0.00279669;0.548231;0.267504;-0.0057351;0.563531;0.266407;0.0062768;0.492609;0.26977;-0.00469894;0.476444;0.269207;0.00251009;0.460278;0.268644;0.0108655;0.581313;0.289816;0.00494774;0.439732;0.292506;0.00366593;0.543894;0.372868;-0.00133063;0.485011;0.374221;0.00601855;0.664807;0.527231;-0.0490302;0.350426;0.551498;0.0641474;0.677434;0.883393;-0.0569415;0.320884;0.925036;0.175158;0.666479;1.14366;0.0730666;0.347057;1.20789;-0.183422;0.680155;1.23338;-0.00886247;0.336014;1.30628;-0.00467689;0.65072;1.22286;-0.00582958;0.372771;1.2956;0.00601855;0.632031;1.19664;0.00286912;0.389027;1.26459;-0.00122591;0.628424;0.981054;0.463192;0.422529;1.00271;0.599851
0.516139;0.317628;0.000363616;0.532572;0.262287;0.00292942;0.547887;0.261077;-0.00601966;0.564029;0.260376;0.00648951;0.493795;0.263051;-0.00464798;0.477607;0.262605;0.00251792;0.461823;0.262128;0.0112195;0.580239;0.282092;0.00515881;0.440464;0.284513;0.0038092;0.544707;0.365965;-0.00128182;0.486115;0.36657;0.00627508;0.664959;0.526067;-0.0475014;0.349095;0.542976;0.0618048;0.679244;0.891742;-0.0383694;0.314079;0.919445;0.176989;0.670333;1.16036;0.0963146;0.335573;1.21096;-0.168815;0.683588;1.2513;-0.0087725;0.323304;1.31082;-0.00482771;0.654124;1.24213;-0.00565703;0.36141;1.30321;0.00585885;0.635272;1.21488;0.00293888;0.378739;1.27079;-0.00139376;0.627704;1.00045;0.419365;0.418502;1.01583;0.553368
0.511097;0.301838;0.000782737;0.528759;0.248724;0.00285566;0.543323;0.247725;-0.00611318;0.558695;0.246671;0.00648022;0.490289;0.25021;-0.00463551;0.474877;0.250114;0.00270378;0.459465;0.250018;0.0116188;0.577354;0.270765;0.00505002;0.441232;0.274337;0.00399002;0.540324;0.350582;-0.00137088;0.483205;0.352194;0.00604989;0.6645;0.520836;-0.051538;0.348819;0.538457;0.0649035;0.678315;0.880319;-0.0665235;0.30402;0.915225;0.162208;0.668565;1.14281;0.0935075;0.328497;1.2065;-0.185193;0.682167;1.23299;-0.00918875;0.316154;1.30885;-0.0047684;0.651801;1.22238;-0.0057841;0.358358;1.29788;0.00572082;0.633065;1.19599;0.00315942;0.3747;1.26562;-0.00126646;0.623612;0.98903;0.420404;0.414868;1.00335;0.556894
0.508833;0.285884;0.000790818;0.526123;0.235202;0.00290152;0.541543;0.234337;-0.00644711;0.556136;0.23294;0.00638365;0.488805;0.237875;-0.00418491;0.473369;0.238163;0.00271749;0.458354;0.239005;0.0119805;0.57554;0.258441;0.00510502;0.441188;0.264824;0.00458468;0.538648;0.335078;-0.00111206;0.482226;0.337666;0.00522241;0.666484;0.518657;-0.060613;0.351278;0.525362;0.0725934;0.681569;0.886599;-0.0604607;0.302604;0.895148;0.169757;0.678832;1.16884;0.134222;0.308677;1.18729;-0.172904;0.692756;1.26054;-0.00924551;0.293544;1.28641;-0.00514944;0.666528;1.25276;-0.00548893;0.330717;1.27854;0.00563487;0.647873;1.22491;0.00312996;0.349737;1.24626;-0.000916936;0.616276;0.99431;0.384999;0.405783;0.995717;0.537699
0.511364;0.269274;0.000632709;0.528197;0.220319;0.00271571;0.543693;0.218965;-0.00627609;0.559193;0.21819;0.00622191;0.489865;0.223701;-0.00415963;0.474366;0.224476;0.00302649;0.458866;0.22525;0.0119274;0.577335;0.248718;0.00517005;0.440297;0.257398;0.00440506;0.541882;0.321697;-0.00126861;0.483559;0.325329;0.0049533;0.661432;0.519815;-0.0581901;0.351769;0.522535;0.06992;0.67434;0.891033;-0.105772;0.298156;0.891105;0.150652;0.679351;1.17299;0.12556;0.312279;1.19499;-0.159832;0.696209;1.25982;-0.00972173;0.295776;1.29733;-0.00502342;0.672503;1.25315;-0.00567048;0.337776;1.29332;0.00588722;0.652755;1.22671;0.0030488;0.355934;1.2606;-0.00104867;0.612015;0.973053;0.425538;0.404783;0.979132;0.574047
