face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.42897;0.369362;0.675257;0.834279;0.682477;0.822888;0.674271;0.826953;0.661476;0.846974;0.652336;0.865859;0.630374;0.799367;0.613764;0.814555;0.603604;0.835689;0.595224;0.857665;0.62224;0.815396;0.600888;0.83663;0.591845;0.861846;0.585444;0.886069;0.618879;0.833441;0.601338;0.856329;0.600556;0.87191;0.599836;0.884853;0.618143;0.851282;0.608975;0.867803;0.608934;0.877649;0.609189;0.886303;0.242313;0.82386;0.282168;0.835442;0.304941;0.834113;0.302598;0.823388;0.278625;0.806976;0.306105;0.76018;0.335722;0.746291;0.342405;0.781534;0.335733;0.820179;0.277126;0.74047;0.296717;0.697184;0.306285;0.740976;0.302681;0.785774;0.244746;0.736324;0.252098;0.720023;0.260161;0.770414;0.257964;0.805365;0.214809;0.743447;0.212686;0.743096;0.217982;0.776707;0.217313;0.803334
0.431408;0.366999;0.681664;0.825256;0.682024;0.822152;0.667536;0.830981;0.654141;0.856471;0.64538;0.883895;0.622657;0.79775;0.605966;0.818494;0.594526;0.844159;0.583289;0.86903;0.617894;0.811644;0.601172;0.835147;0.595119;0.861799;0.590262;0.885499;0.618236;0.82729;0.621447;0.848513;0.639894;0.850207;0.649637;0.848237;0.62385;0.841458;0.626798;0.859009;0.641952;0.860286;0.651086;0.858332;0.228729;0.799689;0.267628;0.826908;0.304253;0.834978;0.326193;0.83596;0.348122;0.841386;0.304692;0.744227;0.332663;0.721914;0.342465;0.757428;0.34163;0.798125;0.271965;0.7306;0.295063;0.709328;0.30021;0.768313;0.297304;0.818278;0.23709;0.735766;0.245516;0.72029;0.250301;0.777741;0.251337;0.825957;0.204804;0.747446;0.195109;0.762153;0.196019;0.809305;0.20004;0.846624
0.428173;0.366728;0.685053;0.816949;0.658904;0.791852;0.629402;0.792907;0.608243;0.802882;0.59807;0.812936;0.624423;0.798795;0.60395;0.818205;0.588983;0.843027;0.576885;0.866832;0.641423;0.816816;0.618699;0.844592;0.602031;0.875435;0.589238;0.902982;0.660222;0.838069;0.640909;0.868579;0.627295;0.893491;0.616859;0.910008;0.679081;0.860231;0.664529;0.883854;0.65445;0.903021;0.646041;0.916608;0.228822;0.782935;0.269739;0.807826;0.298716;0.81864;0.311706;0.84249;0.323754;0.863219;0.301763;0.730858;0.330366;0.712991;0.354831;0.728339;0.368424;0.75497;0.271947;0.713783;0.296127;0.729987;0.293447;0.801885;0.284579;0.854439;0.238021;0.720228;0.249196;0.746958;0.249107;0.811116;0.247299;0.856429;0.205279;0.736102;0.20632;0.765195;0.207056;0.811499;0.209228;0.843429
0.429025;0.36152;0.679614;0.820448;0.663943;0.806943;0.644469;0.805584;0.633853;0.823049;0.628422;0.839158;0.623402;0.802698;0.603141;0.825193;0.591331;0.844063;0.583914;0.861256;0.637604;0.819331;0.615314;0.85705;0.605928;0.886805;0.598459;0.907492;0.654376;0.835037;0.643708;0.86082;0.655022;0.861197;0.66469;0.854115;0.670471;0.849423;0.659948;0.872819;0.661808;0.876283;0.664276;0.87314;0.22556;0.786111;0.26584;0.809066;0.292911;0.829198;0.295611;0.865084;0.298092;0.894082;0.294915;0.745267;0.3239;0.732113;0.344305;0.742419;0.356355;0.760902;0.266633;0.727473;0.289933;0.748632;0.28878;0.81814;0.283886;0.869047;0.235255;0.730823;0.247027;0.755264;0.251129;0.807211;0.254117;0.843437;0.205533;0.740704;0.20878;0.766491;0.213631;0.801721;0.219858;0.82509
0.429476;0.366188;0.678498;0.815019;0.664696;0.810595;0.644849;0.814968;0.631139;0.82477;0.624089;0.832802;0.625567;0.824902;0.604067;0.842451;0.593007;0.854222;0.583802;0.869609;0.635092;0.829501;0.61425;0.858157;0.603626;0.879302;0.594525;0.897621;0.647971;0.832954;0.63376;0.852936;0.631461;0.858509;0.628678;0.860562;0.66158;0.835071;0.64947;0.849579;0.643083;0.855646;0.63636;0.858721;0.241936;0.779002;0.271666;0.798024;0.291073;0.82638;0.289243;0.86894;0.283156;0.899121;0.297651;0.757237;0.319401;0.759457;0.333356;0.788417;0.334933;0.824871;0.268333;0.744397;0.283937;0.766613;0.284325;0.814333;0.279513;0.848983;0.237175;0.746195;0.240024;0.77207;0.243115;0.803782;0.246715;0.821479;0.209994;0.752646;0.206663;0.779179;0.206313;0.797543;0.210626;0.805631
0.430703;0.364499;0.251679;0.811526;0.220744;0.798485;0.214232;0.781848;0.210244;0.780298;0.213991;0.777791;0.255734;0.737708;0.256685;0.755189;0.25565;0.786932;0.250399;0.817708;0.280802;0.750097;0.296276;0.764832;0.294526;0.809839;0.289288;0.848148;0.297158;0.768227;0.309096;0.803003;0.301712;0.848631;0.294349;0.87996;0.305416;0.788159;0.310337;0.825309;0.297554;0.860003;0.284374;0.883588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.434511;0.362291;0.252715;0.823947;0.224016;0.811401;0.217671;0.798359;0.220424;0.782374;0.22106;0.772833;0.230788;0.762895;0.217518;0.738901;0.215279;0.732966;0.216329;0.730295;0.256041;0.768862;0.261588;0.758377;0.265194;0.769391;0.265288;0.778638;0.279577;0.785979;0.290177;0.793008;0.289459;0.812453;0.283975;0.823067;0.295615;0.803809;0.311534;0.815244;0.3126;0.831248;0.3056;0.839377;0.724074;0.854109;0.666047;0.843127;0.625657;0.836391;0.59704;0.835965;0.575318;0.847093;0.624365;0.78025;0.583022;0.789888;0.556044;0.812908;0.536533;0.842624;0.658604;0.780995;0.620231;0.809779;0.588081;0.855582;0.565878;0.900423;0.693844;0.797013;0.664424;0.829148;0.634053;0.886016;0.610622;0.932926;0.72677;0.819263;0.711532;0.85287;0.692033;0.896301;0.673296;0.932172
0.432904;0.364034;0.24098;0.835665;0.271639;0.832756;0.294009;0.821555;0.309416;0.817401;0.322971;0.818736;0.283083;0.764026;0.302106;0.755653;0.31153;0.770501;0.313947;0.787946;0.266416;0.768249;0.281474;0.765157;0.287327;0.783391;0.287664;0.798246;0.247698;0.782452;0.256673;0.787074;0.260347;0.802773;0.25935;0.814662;0.228129;0.798054;0.231202;0.792299;0.23142;0.793609;0.228914;0.796971;0.723331;0.877829;0.662118;0.875237;0.621935;0.86584;0.591184;0.860056;0.559534;0.86161;0.622509;0.800862;0.58034;0.802673;0.551686;0.830907;0.53731;0.862687;0.656634;0.807466;0.610941;0.808549;0.578345;0.848426;0.561303;0.88372;0.691443;0.825855;0.656241;0.838712;0.631696;0.88262;0.617422;0.913127;0.72327;0.851126;0.70428;0.884476;0.687621;0.92181;0.673844;0.946124
0.433104;0.363752;0.713021;0.888222;0.645056;0.889206;0.604199;0.869288;0.575464;0.859444;0.543449;0.85923;0.619446;0.808618;0.586424;0.802901;0.561577;0.835182;0.547002;0.870443;0.656502;0.810811;0.626167;0.813465;0.596282;0.856846;0.574549;0.89578;0.691814;0.828179;0.667999;0.847017;0.641773;0.894965;0.622819;0.933708;0.720259;0.858724;0.705127;0.904655;0.685872;0.948126;0.669027;0.978324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.433236;0.364946;0.238408;0.746126;0.280059;0.758267;0.31184;0.762534;0.334125;0.765001;0.358219;0.766855;0.285435;0.751077;0.308243;0.767664;0.312801;0.803252;0.313785;0.838236;0.252394;0.745356;0.265326;0.77416;0.26592;0.825619;0.263187;0.868768;0.221178;0.744561;0.219396;0.775118;0.221299;0.824562;0.223683;0.861869;0.194586;0.743702;0.181912;0.769317;0.180772;0.802143;0.185836;0.828676;0.693763;0.840199;0.632454;0.847421;0.58666;0.840247;0.550857;0.841337;0.516556;0.851621;0.601754;0.785203;0.568079;0.807328;0.548139;0.836594;0.538044;0.863106;0.632983;0.783876;0.594631;0.804973;0.571955;0.84636;0.555507;0.882315;0.661665;0.794791;0.630366;0.816574;0.60674;0.859735;0.588669;0.8961;0.686165;0.817317;0.665329;0.844973;0.649511;0.878535;0.636596;0.906191
