face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.00272277;-0.000569314;0.650229;-0.00335175;0.58199;-0.00733858;0.551816;-0.00750405;0.552123;-0.00693387;0.570593;0.00391895;0.597306;-0.0660133;0.607069;-0.119787;0.610104;-0.125788;0.611763;-0.114724;0.657563;-0.0681652;0.669527;-0.148141;0.669544;-0.150932;0.668825;-0.144973;0.707983;-0.0585648;0.722313;-0.116997;0.710083;-0.126399;0.693615;-0.127818;0.751249;-0.0489718;0.754694;-0.0611647;0.743249;-0.0651674;0.729231;-0.0710765
0.00286248;-0.000152856;-0.00133163;0.0303515;0.0231612;0.0104502;0.0387264;-0.0335227;0.0507143;-0.0793791;0.0486768;-0.126582;0.00902545;0.00842661;0.0123062;-0.010576;0.0164177;-0.053973;0.0197549;-0.0951784;-0.0153627;0.0089488;-0.0222051;0.00371641;-0.0154986;-0.0537476;-0.0114661;-0.100257;-0.0334437;0.00635237;-0.0392083;-0.0140833;-0.0245309;-0.0558054;-0.0118437;-0.0840895;-0.0448186;0.00776154;-0.0424972;-0.0368928;-0.0339947;-0.066637;-0.0251517;-0.0809423
0.000905395;0.0031507;-0.547876;0.0404406;-0.500801;0.049805;-0.479667;0.0397974;-0.498268;0.0122541;-0.535776;-0.0122675;-0.512982;-0.053817;-0.523946;-0.110612;-0.53234;-0.151859;-0.532865;-0.192088;-0.558213;-0.0676366;-0.579883;-0.123497;-0.586089;-0.161111;-0.583509;-0.190618;-0.597758;-0.068607;-0.589565;-0.0686192;-0.576491;-0.0273689;-0.568821;0.00416392;-0.628866;-0.0602987;-0.621455;-0.0545754;-0.605525;-0.022754;-0.597348;-0.000117242
0.00153789;0.000482768;0.023719;-0.036896;0.0187338;-0.0301745;0.0162272;-0.0335121;0.0177267;-0.0331044;0.0214139;-0.0302317;0.0208154;-0.0313316;0.016533;-0.0360962;0.0178956;-0.0386551;0.016843;-0.0398763;0.021282;-0.0331966;0.0187366;-0.0479805;0.0186742;-0.0558413;0.0159442;-0.066383;0.0215594;-0.0348488;0.0279989;-0.0377567;0.0304196;-0.0314878;0.0286895;-0.0291233;0.0218097;-0.0369518;0.0316052;-0.0428371;0.0311919;-0.0390378;0.026855;-0.0350913
0.00109634;0.000368208;0.0138598;-0.013323;0.0158692;-0.0246953;0.0106495;-0.0339864;0.0071291;-0.0356932;0.011158;-0.0368684;0.0168038;-0.0313652;0.0228865;-0.0277838;0.0243136;-0.0287111;0.0230278;-0.0318572;0.0174094;-0.0336003;0.0299273;-0.0241718;0.030641;-0.0254347;0.0261193;-0.0284892;0.0163054;-0.0328653;0.0192752;-0.0255399;0.014117;-0.0267935;0.00937408;-0.0336047;0.0165326;-0.031176;0.027446;-0.0117403;0.0266743;-0.00834584;0.0259714;-0.0141239;-0.0123441;-0.0132337;-0.0170179;-0.0207955;-0.0181481;-0.027684;-0.0213299;-0.0333899;-0.0245715;-0.0366526;-0.0216557;-0.0266012;-0.0282466;-0.027519;-0.034628;-0.0309972;-0.0391707;-0.0365737;-0.0207926;-0.027076;-0.0281826;-0.0328755;-0.0295736;-0.0439237;-0.0331092;-0.0538607;-0.0193701;-0.030006;-0.0323336;-0.0309815;-0.0283575;-0.0373473;-0.0258013;-0.0410919;-0.0177202;-0.0339901;-0.0353689;-0.0332527;-0.0341632;-0.0313739;-0.0294106;-0.0285141
0.00170898;-0.00215882;0.00611302;-0.0141447;0.0127929;-0.0128006;0.0159621;-0.0192949;0.0153309;-0.022026;0.0186861;-0.0267343;0.0185109;-0.0219291;0.0195085;-0.0224625;0.0200419;-0.0207077;0.0202289;-0.0178027;0.0187791;-0.0240485;0.0167139;-0.0283329;0.0142496;-0.0311623;0.0110163;-0.0319633;0.0176894;-0.0243653;0.0151268;-0.034349;0.0193437;-0.0356211;0.0231379;-0.032609;0.016808;-0.0241834;0.0135258;-0.0300446;0.0166928;-0.029321;0.0212462;-0.0243392;-0.0104643;-0.0151474;-0.0137382;-0.0189171;-0.0141341;-0.0225508;-0.01705;-0.0302727;-0.0241079;-0.0428626;-0.018792;-0.0281422;-0.0197227;-0.0314754;-0.0232281;-0.0271289;-0.0294606;-0.0190892;-0.0206438;-0.0288414;-0.0178264;-0.0289527;-0.0229897;-0.0278315;-0.0301381;-0.0199759;-0.0233213;-0.0269721;-0.0258147;-0.0270671;-0.0275837;-0.0354614;-0.0275398;-0.0384064;-0.0258564;-0.024598;-0.0237956;-0.0317645;-0.0223163;-0.0437571;-0.0225663;-0.0498989
0.000165045;0.00180829;0.0151381;-0.0130219;0.0132256;-0.0202384;0.0148294;-0.0207692;0.00990674;-0.0194556;0.000521958;-0.0164763;0.0162216;-0.0172595;0.0179776;-0.0127035;0.0171999;-0.00882286;0.0171201;-0.00508922;0.0166438;-0.0175117;0.0132446;-0.0199736;0.0105046;-0.0186465;0.00988901;-0.0149677;0.0169332;-0.0189579;0.0118558;-0.0263287;0.0125079;-0.0270026;0.0128628;-0.0248138;0.0156726;-0.0202064;0.0130264;-0.0279534;0.0132793;-0.0274817;0.0143685;-0.0249635;-0.0111976;-0.014606;-0.0139962;-0.0173747;-0.0167039;-0.0171614;-0.0204443;-0.0206341;-0.0183837;-0.0209115;-0.0181364;-0.0200812;-0.0177408;-0.0193051;-0.0188993;-0.0144434;-0.020717;-0.00827223;-0.0209134;-0.0213271;-0.0230458;-0.0244583;-0.0230752;-0.0219908;-0.0232928;-0.0178462;-0.0217428;-0.0240999;-0.0206985;-0.0279132;-0.0201343;-0.0261519;-0.0200138;-0.0223709;-0.0206157;-0.0265507;-0.0176184;-0.0335471;-0.0163213;-0.0381695;-0.0182406;-0.0387524
0.000996113;0.000695407;0.00770447;-0.0119749;0.00932324;-0.0193031;0.00821859;-0.0163566;0.010244;-0.0162937;0.0129172;-0.0166896;0.0105012;-0.0129421;0.00952208;-0.0105469;0.00944024;-0.00824404;0.00786269;-0.00460589;0.012072;-0.0146672;0.00622422;-0.0153535;0.0023703;-0.0161157;-0.000514656;-0.0158274;0.0140259;-0.015592;0.00967085;-0.0140794;0.00921106;-0.0139026;0.00989917;-0.00969708;0.0156152;-0.017408;0.00899264;-0.0210807;0.00868568;-0.0216771;0.010818;-0.0176898;-0.0130922;-0.004866;-0.014172;-0.00754285;-0.0159584;-0.0120783;-0.0155186;-0.018342;-0.0142859;-0.0155573;-0.0206408;-0.00801235;-0.0212066;-0.00998479;-0.0193852;-0.00986445;-0.0165296;-0.00981897;-0.0195234;-0.0126536;-0.0210696;-0.0148063;-0.0209658;-0.0114486;-0.0191459;-0.00757033;-0.0190262;-0.0145351;-0.0180652;-0.0221393;-0.0155923;-0.0205128;-0.0124846;-0.0195901;-0.0184023;-0.0153769;-0.0207462;-0.0164698;-0.0214276;-0.0119791;-0.020153;-0.00935555
0.00192583;0.00170997;0.00769213;-0.0110939;0.00509784;-0.00936967;0.0046736;-0.0041225;0.00782141;-0.00332379;0.00990981;-0.00568187;0.00989649;-0.00964618;0.0139769;-0.00840008;0.0149296;-0.0112669;0.014715;-0.0133834;0.0130213;-0.0104338;0.0148252;-0.0127261;0.0141843;-0.0139298;0.0134524;-0.0158467;0.0167682;-0.0124516;0.0121838;-0.0173706;0.0090723;-0.0143148;0.00716114;-0.0151143;0.0187724;-0.0138635;0.015854;-0.0156143;0.0141951;-0.0134342;0.0130353;-0.0133896;-0.0107636;-0.00302565;-0.0120206;-0.0114011;-0.00956142;-0.00976264;-0.0103386;-0.00736684;-0.0119758;-0.00922614;-0.00980616;-0.0102226;-0.00838405;-0.00763476;-0.0077185;-0.00410801;-0.0058161;-0.00359589;-0.0115198;-0.00730562;-0.0135124;-0.0051921;-0.0144764;-0.0042125;-0.0142883;-0.00545749;-0.0124345;-0.00670987;-0.0109928;-0.00795412;-0.0117514;-0.0124942;-0.0125036;-0.0170098;-0.0149585;-0.00625855;-0.0145229;-0.00381839;-0.0163935;-0.00489676;-0.0167906;-0.00631696
-0.00201589;-0.00119534;0.00796771;-0.00857991;0.00567132;-0.00456077;0.00702187;-0.00663298;0.00973529;-0.00716591;0.0152202;-0.00447869;0.0100456;-0.00865752;0.0129574;-0.00568008;0.0152864;-0.00263435;0.0178147;0.000655949;0.0106093;-0.0116079;0.0126832;-0.00911993;0.0152568;-0.00851166;0.0184442;-0.00579464;0.0106402;-0.0113983;0.0124061;-0.0102673;0.012404;-0.0115097;0.0141557;-0.0115622;0.0106299;-0.0103051;0.0119267;-0.00808817;0.012434;-0.00811839;0.0135554;-0.00766486;-0.00600988;-0.00231737;-0.00735849;-0.00082761;-0.0077247;-0.000586748;-0.0118419;-0.000123441;-0.0150003;-0.00288612;-0.01052;-0.00114679;-0.0131394;0.000470638;-0.0145874;0.00215167;-0.015976;0.00304997;-0.0115464;-0.00349534;-0.0144725;-0.0041551;-0.0163068;-0.0026207;-0.0177169;-0.0012534;-0.01196;-0.00724685;-0.0143339;-0.0108936;-0.0154966;-0.00955021;-0.0169733;-0.00728375;-0.0117635;-0.0113536;-0.0167934;-0.0112474;-0.0178204;-0.00610912;-0.0179024;-0.00205201
