face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
-0.00911435;0.0137634;0.0290699;0.0170164;0.0314007;0.0159163;0.026747;-0.00166953;0.0157428;-0.0188451;0.00769579;-0.0393881;0.0257441;-0.0375551;-0.00196093;-0.0414922;-0.00779346;-0.0309426;-0.00117019;-0.0285329;0.0138343;-0.0523709;-0.0162999;-0.0555539;-0.0168996;-0.0529515;-0.00646505;-0.0524921;0.00304338;-0.0675033;-0.0274169;-0.0764145;-0.0246049;-0.0757385;-0.0107977;-0.0776772;-0.00601164;-0.0862167;-0.030968;-0.10496;-0.0286056;-0.108799;-0.0165276;-0.109822;0.0246521;0.0560762;0.00385839;0.0249959;-0.0099172;-0.0070532;-0.0271167;-0.0388988;-0.0409544;-0.0693495;-0.00106853;-0.0123575;-0.0118333;-0.0340716;-0.0220993;-0.0623931;-0.0308915;-0.0909121;0.00397152;-0.00854117;0.000466704;-0.0325344;-0.0121194;-0.0704233;-0.0239;-0.10616;0.00840068;-0.00340861;0.000325918;-0.029391;-0.0092454;-0.0595255;-0.0182261;-0.0903135;0.0115486;0.00265425;-0.000220716;-0.0279221;-0.0114834;-0.0547497;-0.0204429;-0.0806673
-0.00183555;8.15988e-05;-0.0101852;0.0514678;-0.00597346;0.00610077;-0.00197551;-0.0414104;0.000350982;-0.072593;0.00225106;-0.0935227;0.0242377;-0.0319324;0.0299537;-0.0821958;0.0212843;-0.0868809;0.0145881;-0.0887552;0.0193455;-0.00562918;0.0340545;-0.0501089;0.0261983;-0.049763;0.0171388;-0.0516541;0.0107244;0.0213298;0.0257104;-0.011408;0.0156593;-0.0131483;0.00359395;-0.0133554;-0.000672996;0.0498415;0.0139197;0.0432997;0.00665233;0.0440391;-0.00483501;0.0403877;-0.0165018;0.00114858;-0.0254849;-5.126e-06;-0.027027;0.00396633;-0.019677;0.00695717;-0.0150791;0.00921535;-0.013249;-0.0212677;-0.0153587;-0.0320127;-0.0148331;-0.0170315;-0.0146969;0.000285685;-0.000620782;-0.0206873;-0.00376058;-0.0394173;-0.0024398;-0.0228341;-0.00208783;-0.00542325;0.0104002;-0.0177978;0.0138738;-0.0332057;0.012025;-0.0161657;0.0110546;0.00191927;0.0221589;-0.0121374;0.0291135;-0.0159796;0.0285366;-0.00367045;0.0275102;0.0105799
-0.00962615;0.0250247;0.385586;-0.215573;0.336251;-0.196202;0.30859;-0.198298;0.296053;-0.202909;0.288377;-0.198211;0.331234;-0.270008;0.331356;-0.296731;0.332613;-0.308449;0.329715;-0.315519;0.369196;-0.279559;0.371626;-0.311698;0.371411;-0.322295;0.371174;-0.328783;0.400703;-0.277264;0.402657;-0.302134;0.401073;-0.307125;0.400847;-0.306865;0.424301;-0.271089;0.423089;-0.285658;0.420182;-0.281027;0.418544;-0.271913
-0.000570804;0.00492737;-0.0293525;-0.0166962;-0.0112759;-0.0396649;-0.00857526;-0.0492796;-0.015968;-0.0565603;-0.02105;-0.0703152;-0.0145121;-0.0522194;-0.0163663;-0.0626683;-0.0195199;-0.0700638;-0.0228028;-0.0742168;-0.0354753;-0.0373558;-0.0412987;-0.0396895;-0.0417829;-0.0426014;-0.0431532;-0.0498503;-0.0538882;-0.0179502;-0.0733635;0.00601125;-0.0754352;0.0540728;-0.0758662;0.0864666;-0.0686337;0.00294536;-0.0836827;0.0235248;-0.086543;0.0508239;-0.0870915;0.0690402
-0.00447226;0.00860646;-0.0187469;-0.00901961;-0.0526599;-0.0137795;-0.0608189;-0.0156146;-0.0536907;-0.00947428;-0.0461981;-0.00209397;-0.0352919;-0.0233321;-0.0379407;-0.020375;-0.0346844;-0.0220259;-0.0295036;-0.0232801;-0.011646;-0.0277137;-0.010573;-0.026035;-0.00746912;-0.0349175;-0.00134575;-0.0404425;0.010709;-0.0355692;0.0192635;-0.0545119;0.011359;-0.0901739;0.00524163;-0.110177;0.029594;-0.0425758;0.0345929;-0.0659742;0.0242959;-0.0924479;0.0131856;-0.106401;0.0159566;-0.0144063;0.0163606;-0.0209045;0.0151579;-0.0274639;0.0202374;-0.0420251;0.0256017;-0.05099;0.0153124;-0.0243874;0.018714;-0.0255125;0.0198102;-0.0283594;0.019938;-0.0315678;0.011362;-0.0231412;0.0129134;-0.0251268;0.0170392;-0.0282782;0.0205319;-0.0299568;0.00903159;-0.0211467;0.0212311;-0.0137091;0.0308449;0.0243843;0.0343164;0.057805;0.00693542;-0.0180553;0.0121649;-0.0267861;0.0171726;-0.0265875;0.0203304;-0.0271295
0.00057596;0.00164184;-0.0108636;-0.0159119;-0.0140619;-0.0311803;-0.0162424;-0.0285102;-0.0187604;-0.0313689;-0.0146998;-0.0361796;-0.012527;-0.0269858;-0.0126679;-0.0292026;-0.012969;-0.0290229;-0.0121052;-0.028322;-0.0126728;-0.0298309;-0.0202131;-0.0289879;-0.0286703;-0.0277386;-0.0360875;-0.0227708;-0.0137691;-0.0327224;-0.0273368;-0.0230675;-0.0335447;0.0106087;-0.0339881;0.0418376;-0.0132738;-0.0400918;-0.0246846;-0.0401747;-0.0283923;-0.0247601;-0.0283893;-0.00866944;0.00584885;-0.0125018;0.010643;-0.017722;0.0134039;-0.0276343;0.0136584;-0.031832;0.0104952;-0.0264605;0.0130161;-0.0222801;0.0171746;-0.0202756;0.0201314;-0.0205396;0.0215925;-0.0218526;0.0127601;-0.0285214;0.0190998;-0.0256527;0.0212668;-0.0270001;0.0217615;-0.0257745;0.0119463;-0.0331541;0.019995;-0.0312064;0.022429;-0.0264644;0.021136;-0.0221854;0.0124511;-0.035275;0.0229355;-0.0319592;0.0227968;-0.0236616;0.0182696;-0.0184233
0.00226492;-0.0118232;-0.00979114;-0.0164559;-0.0113328;-0.0200151;-0.0124606;-0.0223538;-0.0128168;-0.0252081;-0.0115276;-0.0256781;-0.0161361;-0.0266072;-0.0196682;-0.0256522;-0.0255291;-0.0220132;-0.0308437;-0.0192982;-0.0164227;-0.0273955;-0.0154065;-0.0345128;-0.0142462;-0.0342415;-0.0133626;-0.0335501;-0.0166056;-0.0270421;-0.0193084;-0.0342297;-0.0216686;-0.0359432;-0.0233705;-0.0360026;-0.0172201;-0.0269845;-0.0217612;-0.0301813;-0.0244448;-0.0268864;-0.0257617;-0.0247078;0.00858951;-0.0133651;0.00896597;-0.0172839;0.010324;-0.0175157;0.0133338;-0.0185746;0.0160687;-0.0236179;0.0148319;-0.0158261;0.0148908;-0.0142539;0.0174005;-0.0121382;0.0198239;-0.0106603;0.0161407;-0.0193774;0.0198071;-0.0174586;0.0227977;-0.0165538;0.0252462;-0.014319;0.0161897;-0.0226851;0.0176022;-0.024437;0.0149153;-0.0241662;0.0140964;-0.0232359;0.0155308;-0.0240422;0.0173787;-0.024262;0.0147349;-0.0235173;0.0120831;-0.0217413
-0.00322405;0.00823365;-0.0117686;-0.0141799;-0.0148938;-0.0144953;-0.0163583;-0.0124052;-0.0148994;-0.0122881;-0.00955749;-0.0108877;-0.0175107;-0.0182396;-0.0181203;-0.0167721;-0.0178148;-0.0124888;-0.0163941;-0.00932217;-0.0161254;-0.0196368;-0.0142307;-0.0202282;-0.0147402;-0.0172324;-0.0142212;-0.0137787;-0.01365;-0.0207642;-0.0122721;-0.021136;-0.0148103;-0.0157893;-0.0152359;-0.0104939;-0.0127988;-0.0203981;-0.0117055;-0.0158587;-0.012645;-0.0084739;-0.0114859;-0.00110728;0.00632527;-0.0114294;0.0077548;-0.00938153;0.0115048;-0.00770217;0.0144645;-0.00655782;0.0166137;-0.00441217;0.0156507;-0.0102808;0.0183682;-0.00984567;0.0192496;-0.00887245;0.0211138;-0.00727227;0.0154077;-0.0128924;0.0164838;-0.0142146;0.0174176;-0.0131681;0.0183631;-0.0100988;0.0138077;-0.0157584;0.0123593;-0.0141113;0.0117922;-0.0192151;0.0132922;-0.0232921;0.0130531;-0.0181982;0.0135974;-0.0114141;0.0129256;-0.0106983;0.0138211;-0.0123078
0.00489953;0.0441693;-0.00247163;-0.0123971;-0.00654036;-0.00922465;-0.00771517;-0.00539821;-0.0100759;-0.00422096;-0.0125895;-0.00462246;-0.0107988;-0.0121786;-0.0119087;-0.0104053;-0.0120177;-0.00860029;-0.0113256;-0.00712788;-0.010492;-0.0143211;-0.01165;-0.0111122;-0.0129045;-0.00800514;-0.0136552;-0.00511527;-0.0118468;-0.0159816;-0.01253;-0.0169886;-0.0128435;-0.0212347;-0.0130931;-0.0248065;-0.0137626;-0.0142328;-0.0156911;-0.0148533;-0.0154694;-0.0187039;-0.0148148;-0.0215393;0.0110656;-0.00741976;0.013616;-0.00671363;0.0111601;-0.00407457;0.0114183;-0.00629991;0.0136172;-0.0125949;0.0158469;-0.00462991;0.0143732;-0.00720188;0.0117625;-0.00834629;0.00884578;-0.00829217;0.0151893;-0.00619009;0.0157129;-0.0111515;0.0168223;-0.0135014;0.0177754;-0.0144558;0.0132035;-0.0086368;0.0117323;-0.0135255;0.0108024;-0.0120996;0.00991356;-0.0111985;0.0114566;-0.0115521;0.0117327;-0.0117024;0.0107641;-0.00940776;0.00987101;-0.00957441
0.00614056;0.00672865;-0.00304252;-0.00991458;-0.00358868;-0.000923276;-0.00399309;0.00154138;-0.00867945;-0.000612676;-0.0137147;-0.00350016;-0.00733674;0.000409096;-0.00470829;-0.00011754;-0.00429547;0.00194484;-0.00552702;0.00416702;-0.00782686;-0.00251198;-0.00487262;-0.00329313;-0.0046941;-0.00161457;-0.00508255;0.00170535;-0.00831789;-0.00438866;-0.00886387;-0.00607476;-0.00920624;-0.0140483;-0.010076;-0.0201202;-0.00943506;-0.00627548;-0.0132998;-0.00330096;-0.0119755;-0.00438336;-0.0102974;-0.00672677;0.00260833;-0.00605941;0.00366902;-0.00209153;0.00715518;-0.00148588;0.00966752;-0.00129086;0.0105204;-0.000447154;0.00931293;-0.00472504;0.00709313;-0.00646433;0.00451893;-0.00724396;0.000877231;-0.0088284;0.0103715;-0.00403246;0.0139484;-0.00850755;0.0155904;-0.00969946;0.0171126;-0.0131208;0.0103689;-0.00431219;0.00987938;-0.0094988;0.0111115;-0.00525314;0.0115818;-0.00166366;0.00943881;-0.0047684;0.00666684;-0.00937423;0.00788102;-0.00875038;0.00914401;-0.00712192
