face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
-0.0140285;-0.00333795;0.00897616;-0.0829048;-0.0195899;-0.0383652;-0.0486552;-0.0334874;-0.0698123;-0.0470351;-0.079971;-0.0699748;-0.0538725;-0.078073;-0.0730597;-0.0674549;-0.0796708;-0.0699431;-0.0799638;-0.0784479;-0.0371286;-0.111278;-0.0555344;-0.104639;-0.0596356;-0.110424;-0.0572348;-0.119102;-0.0186188;-0.136421;-0.0280369;-0.132078;-0.0242699;-0.137639;-0.0195901;-0.148642;-0.00141877;-0.155987;0.000294983;-0.162282;0.00800991;-0.170175;0.012197;-0.182441
0.00569388;0.0346792;-0.0558881;-0.135076;-0.0316278;-0.175297;-0.017427;-0.214086;-0.025921;-0.238196;-0.0315695;-0.257587;-0.0279548;-0.23851;-0.0339724;-0.312968;-0.0317647;-0.347382;-0.0294415;-0.369396;-0.0595022;-0.222005;-0.0753299;-0.297212;-0.0760452;-0.325039;-0.0774159;-0.34957;-0.0895962;-0.195304;-0.10532;-0.227456;-0.0988638;-0.18325;-0.0935551;-0.147074;-0.115238;-0.161709;-0.131428;-0.170029;-0.129645;-0.136666;-0.125805;-0.104132;-0.00383306;-0.066884;0.0124969;-0.104379;0.024249;-0.161729;0.02624;-0.200835;0.0312896;-0.230606;0.0336709;-0.292134;0.0388636;-0.36812;0.0368072;-0.37482;0.0294004;-0.379584;0.0276335;-0.278609;0.0359832;-0.347752;0.0367882;-0.330902;0.0308935;-0.316403;0.0232964;-0.243992;0.0431404;-0.281902;0.0435489;-0.224685;0.0359168;-0.17703;0.0190595;-0.197643;0.035401;-0.213422;0.0376747;-0.17755;0.0316691;-0.14752
-0.00578654;0.0032825;-0.00595969;-0.0223913;-0.0174026;-0.0261617;-0.031697;-0.0101886;-0.0254961;-0.00182563;-0.0211183;0.00925231;-0.0306916;0.00890386;-0.0336886;0.03435;-0.0404851;0.0495417;-0.047148;0.0636461;-0.0142498;0.00222969;-0.00888991;0.0244253;-0.0097658;0.0421197;-0.00758415;0.0647153;0.00285041;-0.0155285;0.00989735;-0.0230573;6.99162e-05;-0.065483;-0.00606459;-0.0923902;0.0163863;-0.0344749;0.0216004;-0.0415744;0.0119877;-0.070628;0.0063237;-0.0958002;0.0091514;0.00251359;-0.0188867;0.00786537;-0.0174467;-0.00665748;-0.00762495;-0.00841296;0.00227851;-0.0101116;0.0137281;0.0224791;0.0197027;0.0173408;0.0229081;0.00271022;0.0273974;-0.0129316;0.023607;0.0196194;0.02983;0.00203419;0.0247514;-0.0308803;0.0243669;-0.0704733;0.0262478;0.0144826;0.0183721;-0.0152776;0.0143826;-0.0814289;0.0160948;-0.139776;0.024364;0.0119606;0.0175901;-0.000794947;0.011687;-0.0301241;0.00908026;-0.0581332
-0.00099349;0.000132948;-0.0172802;-0.00568926;-0.00214899;-0.00948423;0.0122785;-0.0133528;0.0232743;-0.00982308;0.0288563;0.000301301;0.00173002;-0.0072571;0.00381207;-0.0121435;0.0068357;-0.0130622;0.0095731;-0.0154013;-0.00778508;0.00465041;-0.00564468;0.00508183;-0.00302082;0.00208008;-0.00132257;-0.00383794;-0.0178003;0.0194556;-0.0175647;0.0217397;-0.0136462;0.0180639;-0.00942218;0.0100069;-0.0264801;0.0322747;-0.0268633;0.0343469;-0.0244194;0.0350023;-0.0227346;0.0349337;-0.00658873;0.0108507;-0.0394332;0.0165194;-0.0493933;0.0425057;-0.0526046;0.0474914;-0.0626195;0.0497842;-0.00569156;0.0551918;0.0121692;0.0663165;0.0175517;0.0641475;0.0212077;0.0667887;0.00616217;0.0402254;0.0249085;0.0526664;0.033379;0.0486405;0.037696;0.0507888;0.0166213;0.0156839;0.0304635;0.0300654;0.0365287;0.0253165;0.038985;0.0247811;0.0269728;-0.0117949;0.0348331;-0.0177658;0.0388832;-0.0367581;0.040297;-0.0498526
0.00389892;0.0271045;-0.00424045;-0.00910473;-0.00305653;-0.00331521;-0.00192612;0.0102374;0.00208914;0.0227941;0.00588691;0.0287533;-0.0120146;0.00751549;-0.0147598;0.0178128;-0.0161865;0.0214577;-0.0169418;0.0278072;-0.0118545;0.000406086;-0.0157303;0.00951338;-0.0170567;0.0127056;-0.0187165;0.0151805;-0.00921792;-0.00663179;-0.0115501;-0.00453371;-0.0117062;-0.00251687;-0.0116169;-0.00344205;-0.00520271;-0.0115097;-0.00662059;-0.00787055;-0.00655729;-0.00976413;-0.00634134;-0.0142237;-0.000241369;-0.00758302;0.0264625;-0.00301981;0.0315914;-0.00737387;0.0268448;-0.00538832;0.0263868;0.00337893;-0.0109397;0.0246845;-0.0126267;0.0260842;-0.0107968;0.0396307;-0.00806054;0.0466643;-0.0185863;0.0277306;-0.0211893;0.0352865;-0.0193771;0.0555832;-0.0159524;0.0744296;-0.0254302;0.0319332;-0.0294975;0.0350911;-0.0402146;0.0838239;-0.0456651;0.127757;-0.0298991;0.0324159;-0.0305545;0.0440747;-0.0356752;0.0782158;-0.0383367;0.111967
-0.00314382;0.0129035;0.00542206;-0.00759053;0.00137913;-0.00563937;0.0002352;-0.0051294;-0.00248456;-0.00604725;-0.00176704;-0.00560862;-0.000813425;0.00108135;-0.00589705;0.0035516;-0.00894952;0.00434816;-0.0123711;0.00210536;0.00109851;0.0105108;-0.00285316;0.0140652;-0.0070889;0.0166875;-0.011795;0.0192332;0.00226992;0.0190654;0.000859082;0.0283301;-0.00271958;0.0305622;-0.00815254;0.036038;0.00328112;0.0221822;0.00412339;0.0314844;0.00373769;0.0362592;0.00112683;0.0432262;0.0444313;-0.0953789;0.0356233;-0.0347379;0.0182997;0.0299267;-0.000338882;0.0820882;-0.0213492;0.118342;-0.0045709;0.0137134;-0.035179;0.0809427;-0.0532098;0.124979;-0.0633905;0.1604;-0.0079731;0.00621676;-0.0471106;0.0744169;-0.0661529;0.124306;-0.0765111;0.158153;-0.00842223;0.0011183;-0.0429495;0.0687956;-0.0512509;0.0847394;-0.0530352;0.0871625;-0.00781718;-0.00718522;-0.0310908;0.0399451;-0.0403477;0.0546802;-0.0437212;0.0571941
-0.00671342;-0.0095751;-0.321998;0.021499;-0.343022;0.0357944;-0.356212;0.0524021;-0.366466;0.0586478;-0.373962;0.0605543;-0.350662;0.097802;-0.352734;0.129958;-0.352748;0.156309;-0.352349;0.180735;-0.340921;0.0941815;-0.342067;0.129377;-0.339323;0.155861;-0.338251;0.181514;-0.330497;0.0831332;-0.331565;0.113309;-0.331221;0.135504;-0.332661;0.155929;-0.319571;0.0693122;-0.324438;0.0903003;-0.324723;0.104383;-0.325912;0.11637
0.0268326;0.0267324;0.249291;-0.169828;0.224775;-0.191862;0.213199;-0.234238;0.211129;-0.268826;0.220917;-0.298797;0.24747;-0.312432;0.249075;-0.369786;0.248856;-0.409068;0.249216;-0.442028;0.261952;-0.318201;0.270928;-0.385236;0.271621;-0.42573;0.274366;-0.458257;0.272154;-0.309393;0.259265;-0.353322;0.2522;-0.3467;0.254493;-0.339567;0.27654;-0.295836;0.257044;-0.322355;0.247331;-0.310525;0.246647;-0.297994
-0.00068751;-0.00344625;-0.00802964;0.000236273;-0.0062784;-0.00269628;-0.00492525;-0.0021261;-0.00532401;-0.00412285;-0.007626;-0.00602919;-0.0103866;-0.00288871;-0.00861889;-0.00261688;-0.00683498;-0.00219089;-0.00505883;-0.00113884;-0.010003;-0.00196946;-0.0103667;-0.00132555;-0.0121203;0.00224301;-0.0128381;0.00812584;-0.00976288;-0.00242069;-0.00948387;-0.00554243;-0.0115825;-0.00748175;-0.0122347;-0.00759584;-0.010199;-0.00266114;-0.00806719;-0.00735217;-0.00845933;-0.01046;-0.00841147;-0.0130031;0.0033856;0.00184846;0.00380817;0.00167644;0.00403085;0.00107294;0.00460809;-0.00165898;0.00198677;-0.00488961;0.0106146;-0.00393811;0.0110382;-0.00496745;0.00965992;-0.00159678;0.007954;0.00181514;0.00940147;-0.00484118;0.00674361;-0.00923368;0.00525409;-0.00986531;0.00332344;-0.0102081;0.00733393;-0.00471282;0.000856042;-0.0106305;0.00250146;-0.0159498;0.00415233;-0.0226333;0.00517133;-0.00402796;0.00395811;-0.00343204;0.00632578;-0.00377259;0.0085479;-0.00585395
-0.00627208;-0.00546876;0.000757456;-0.000434339;-0.000593364;0.00242567;-0.00206769;0.00348729;-0.00397766;0.00624093;-0.00748777;0.0065141;-0.00203288;-0.000940025;-0.00219083;0.000467032;-0.0023216;-0.00042069;-0.00254416;-0.00200838;-0.00315493;-0.00102621;-0.00703865;-0.000635535;-0.0094974;0.00257275;-0.0117452;0.00499764;-0.00367534;-0.00213224;-0.00393933;-0.00157103;-0.00583166;-0.00617811;-0.00897014;-0.00727421;-0.0033716;-0.00306422;-0.00286913;-0.00431457;-0.00355738;-0.00523764;-0.00475603;-0.00432265;-0.00494185;0.00546867;-0.00121614;-0.00163144;0.000371426;-0.00271225;0.00126913;-0.00365105;-0.000364572;-0.00336123;0.00192022;-8.37743e-05;0.0045135;0.00202948;0.00575298;0.00291035;0.00576735;0.00464115;0.00332472;-0.000143051;0.00862345;0.00244755;0.0108218;0.00721204;0.0121317;0.0131736;0.0038574;-0.0016863;0.0046953;-0.000578701;0.00329822;0.00414115;0.00209889;0.00805148;0.00361621;-0.00289556;0.00302711;-0.00562707;0.00129855;-0.00439382;3.33488e-05;-0.00445664
