face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.436575;0.111012;0.762953;0.880706;0.736029;0.886814;0.724469;0.904157;0.720742;0.920077;0.728401;0.934417;0.770194;0.882847;0.78459;0.879479;0.77956;0.901618;0.774487;0.917472;0.795849;0.891747;0.819822;0.89034;0.816245;0.924157;0.807713;0.950233;0.816345;0.905572;0.84217;0.912215;0.838787;0.944456;0.829292;0.96693;0.830269;0.923848;0.852394;0.937255;0.850479;0.958606;0.844502;0.977051
0.433818;0.113109;0.752414;0.862565;0.71734;0.850638;0.709645;0.846257;0.716802;0.84615;0.722224;0.849251;0.750397;0.851931;0.751257;0.875152;0.753842;0.882823;0.756341;0.882201;0.77869;0.871475;0.784272;0.905087;0.785502;0.912531;0.785349;0.907496;0.798607;0.892742;0.810239;0.926912;0.805112;0.930295;0.795695;0.920668;0.81686;0.911372;0.82879;0.938892;0.827138;0.937653;0.820463;0.926503
0.426147;0.115705;0.762387;0.7852;0.77296;0.831158;0.784596;0.852103;0.779933;0.838577;0.762838;0.816917;0.815586;0.802872;0.83615;0.782764;0.82359;0.783924;0.813554;0.791354;0.800835;0.764654;0.820088;0.743736;0.798726;0.749753;0.78618;0.760492;0.780093;0.738227;0.791057;0.717788;0.770447;0.726964;0.76036;0.744072;0.756992;0.721682;0.750859;0.703386;0.737557;0.710774;0.731387;0.726637
0.425307;0.124326;0.721836;0.780197;0.698397;0.732815;0.695472;0.688826;0.69836;0.648185;0.699147;0.60991;0.74343;0.645381;0.749094;0.588268;0.747065;0.572473;0.739788;0.569873;0.769501;0.656088;0.78044;0.598986;0.778251;0.580269;0.770237;0.570592;0.787543;0.683495;0.806434;0.63729;0.804244;0.620847;0.794618;0.612528;0.79742;0.720029;0.816919;0.695393;0.817361;0.680602;0.810488;0.671493
0.430396;0.124659;0.714936;0.724488;0.68177;0.679206;0.674533;0.632825;0.672619;0.589069;0.666216;0.544041;0.725432;0.582535;0.726671;0.520044;0.722275;0.492486;0.713488;0.477644;0.756547;0.58513;0.770191;0.523098;0.768802;0.495531;0.762279;0.482403;0.778747;0.603655;0.800089;0.549719;0.798426;0.523503;0.790126;0.512911;0.793357;0.630776;0.816224;0.594339;0.816602;0.573682;0.809551;0.5663
0.428928;0.136264;0.69813;0.685617;0.667505;0.640485;0.659251;0.590127;0.656028;0.545457;0.649973;0.500403;0.705651;0.536873;0.705386;0.474976;0.699508;0.442737;0.690833;0.421223;0.734569;0.537111;0.746109;0.469119;0.746144;0.435389;0.744514;0.409941;0.754564;0.554274;0.774538;0.495961;0.776223;0.465933;0.773532;0.447832;0.766877;0.581402;0.790998;0.540838;0.795995;0.519213;0.796247;0.507744;0.475055;0.762051;0.495379;0.702077;0.523933;0.665172;0.552297;0.655584;0.567315;0.666639;0.561477;0.707974;0.622061;0.715871;0.637412;0.716094;0.63605;0.716103;0.557988;0.754664;0.600933;0.756394;0.582219;0.737709;0.561901;0.724705;0.5509;0.793348;0.581738;0.784168;0.567664;0.767317;0.551071;0.760222;0.541535;0.821409;0.568648;0.80917;0.557019;0.794448;0.541408;0.787473
0.430017;0.154787;0.693619;0.681218;0.660028;0.631138;0.650585;0.567103;0.649623;0.516272;0.643084;0.470731;0.692314;0.51859;0.696605;0.459852;0.695041;0.423024;0.691941;0.388856;0.717355;0.522751;0.728886;0.459872;0.73306;0.418649;0.735781;0.378341;0.737307;0.538645;0.754688;0.485483;0.761449;0.445853;0.763647;0.410184;0.753508;0.564103;0.774703;0.526124;0.785342;0.495148;0.791678;0.46773;0.457588;0.733423;0.486219;0.672828;0.514967;0.638351;0.548147;0.628747;0.568026;0.628622;0.536773;0.67629;0.595734;0.673306;0.62195;0.668907;0.638327;0.670367;0.538892;0.721751;0.596945;0.700052;0.590005;0.686974;0.57486;0.682577;0.53858;0.758995;0.58954;0.734882;0.58215;0.717876;0.568573;0.709106;0.535651;0.790087;0.574106;0.765468;0.569964;0.745725;0.55828;0.735663
0.427482;0.158552;0.685602;0.661369;0.651654;0.606497;0.641652;0.542631;0.639395;0.494236;0.633386;0.455752;0.679779;0.49468;0.68047;0.438572;0.678059;0.40224;0.675197;0.369599;0.702164;0.497627;0.711785;0.434396;0.717191;0.39189;0.722427;0.35;0.720662;0.510563;0.734263;0.454751;0.743315;0.414642;0.749391;0.377082;0.736689;0.531581;0.755302;0.491833;0.767491;0.46272;0.777217;0.437117;0.454443;0.703587;0.479488;0.642017;0.509558;0.611114;0.542915;0.600477;0.561024;0.605328;0.535594;0.644346;0.592256;0.637881;0.616448;0.633766;0.629371;0.635559;0.539109;0.687856;0.594839;0.67459;0.589338;0.662222;0.572431;0.657115;0.538446;0.725322;0.588039;0.710951;0.584105;0.69412;0.569517;0.684935;0.534754;0.755014;0.571596;0.7379;0.57016;0.719109;0.558078;0.708065
0.423686;0.160045;0.672742;0.643496;0.640258;0.58311;0.626321;0.518834;0.620946;0.47021;0.614611;0.429386;0.668153;0.46887;0.667977;0.411749;0.664459;0.375528;0.660302;0.345056;0.689058;0.473899;0.699017;0.410185;0.703172;0.368064;0.707457;0.328877;0.70641;0.488334;0.721755;0.432133;0.731374;0.39073;0.738731;0.353934;0.72194;0.510517;0.740576;0.471523;0.752161;0.440547;0.76212;0.412717;0.453556;0.686092;0.474646;0.621851;0.50092;0.587056;0.532148;0.571617;0.550735;0.570578;0.532192;0.615571;0.588951;0.606558;0.600067;0.600024;0.601891;0.600786;0.53789;0.655049;0.592567;0.643465;0.585913;0.6317;0.571156;0.626778;0.539904;0.68908;0.588531;0.674502;0.581749;0.65935;0.566306;0.651983;0.538002;0.718229;0.573403;0.70162;0.570834;0.684979;0.558707;0.675893
0.423261;0.165085;0.66446;0.628149;0.633386;0.57144;0.61773;0.504819;0.609793;0.455685;0.600791;0.419019;0.658654;0.449238;0.657651;0.391143;0.652785;0.355611;0.647218;0.326764;0.679372;0.451777;0.688852;0.38671;0.692093;0.346055;0.694543;0.309384;0.696078;0.465631;0.712055;0.408291;0.720472;0.368541;0.725766;0.333216;0.709529;0.489012;0.726867;0.450022;0.737515;0.419194;0.745792;0.390155;0.454753;0.665997;0.473181;0.601151;0.501549;0.563441;0.531379;0.545653;0.549088;0.547074;0.529273;0.592389;0.582608;0.578499;0.604558;0.570077;0.618472;0.567508;0.536967;0.633217;0.588789;0.62107;0.582754;0.610806;0.567701;0.606671;0.53979;0.668687;0.58581;0.652489;0.579424;0.637318;0.564358;0.631192;0.538673;0.697491;0.573986;0.682091;0.571218;0.666144;0.559008;0.656807
