face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.462219;0.22874;0.707977;0.771479;0.753906;0.724712;0.773618;0.670323;0.773645;0.616027;0.760531;0.583341;0.752015;0.636149;0.755754;0.566312;0.754896;0.542738;0.75018;0.532812;0.720934;0.620748;0.716551;0.554107;0.717618;0.534745;0.717806;0.538023;0.693438;0.62556;0.695049;0.563407;0.698389;0.554218;0.699703;0.565243;0.667791;0.641669;0.669205;0.588357;0.675006;0.576656;0.680418;0.58254
0.461608;0.239595;0.692025;0.727517;0.660088;0.668526;0.651342;0.620275;0.650927;0.580914;0.650549;0.542336;0.689143;0.586778;0.692198;0.533894;0.6894;0.500501;0.685015;0.476469;0.715792;0.597045;0.726746;0.540275;0.731136;0.50001;0.730922;0.472544;0.737033;0.61193;0.754799;0.568013;0.760073;0.533678;0.761661;0.512424;0.752165;0.63106;0.764593;0.600383;0.768613;0.573851;0.770148;0.556258
0.45982;0.239634;0.680526;0.684282;0.646928;0.640217;0.634858;0.588908;0.634616;0.546975;0.631717;0.508489;0.679838;0.550089;0.682801;0.497404;0.683222;0.467456;0.682353;0.44752;0.704796;0.555746;0.713686;0.501234;0.717733;0.469103;0.717891;0.447015;0.724219;0.570292;0.74017;0.524741;0.747915;0.496323;0.749592;0.476728;0.73936;0.593824;0.755016;0.561486;0.763038;0.539667;0.767392;0.523323
0.458232;0.237468;0.671166;0.665457;0.638011;0.622635;0.625287;0.571643;0.624908;0.530679;0.623283;0.494086;0.6693;0.528924;0.670368;0.479422;0.670031;0.450062;0.669775;0.427934;0.693829;0.533398;0.700912;0.483551;0.706245;0.453686;0.710281;0.426936;0.711968;0.546898;0.723357;0.505445;0.731908;0.477127;0.738327;0.451832;0.725385;0.568492;0.738073;0.542175;0.749122;0.522208;0.758819;0.502466
0.454688;0.235915;0.662083;0.642788;0.632135;0.605732;0.619069;0.558406;0.617654;0.518597;0.61536;0.484017;0.660125;0.519158;0.662133;0.471281;0.662526;0.440224;0.662002;0.416862;0.68238;0.521293;0.690684;0.469973;0.696328;0.438088;0.69993;0.410448;0.699321;0.532232;0.710842;0.489809;0.719473;0.460987;0.725203;0.436167;0.712587;0.550198;0.724916;0.522834;0.736133;0.5023;0.746483;0.481562
0.445665;0.25474;0.484653;0.710551;0.498991;0.660244;0.521727;0.624949;0.550715;0.612102;0.570661;0.614308;0.564697;0.644392;0.600346;0.638415;0.617964;0.634088;0.624249;0.629602;0.569965;0.674176;0.597467;0.67015;0.592978;0.663741;0.579374;0.659715;0.568046;0.70195;0.590832;0.692626;0.586679;0.686403;0.573077;0.685069;0.563803;0.727228;0.580036;0.716622;0.576577;0.710594;0.565062;0.709338;0.65711;0.623799;0.630555;0.590098;0.616964;0.546057;0.613788;0.508186;0.608599;0.476658;0.654603;0.507337;0.655897;0.46154;0.65688;0.430486;0.657173;0.406472;0.677002;0.509824;0.683861;0.461573;0.688815;0.429183;0.693278;0.400948;0.694782;0.520251;0.707563;0.480381;0.716417;0.451006;0.723048;0.425228;0.708621;0.537942;0.721788;0.512064;0.733603;0.493579;0.744924;0.474202
0.446181;0.258195;0.488909;0.699554;0.500427;0.65319;0.518309;0.619738;0.543837;0.600676;0.561836;0.594783;0.562698;0.629391;0.597354;0.620687;0.616157;0.618337;0.625726;0.615391;0.569949;0.659738;0.59726;0.662909;0.590156;0.664319;0.573881;0.664619;0.569951;0.687022;0.593266;0.688253;0.584554;0.689863;0.567809;0.689554;0.565372;0.713911;0.585271;0.715142;0.581741;0.714056;0.569352;0.711728;0.653858;0.628064;0.625547;0.589009;0.61252;0.544048;0.610871;0.505077;0.607212;0.474187;0.649475;0.498166;0.650891;0.452833;0.651242;0.423359;0.651794;0.400323;0.67234;0.501933;0.681322;0.451557;0.686362;0.420509;0.689352;0.393984;0.689901;0.513693;0.704461;0.472911;0.712667;0.445402;0.717842;0.421532;0.70419;0.532999;0.719209;0.504038;0.730051;0.483829;0.73926;0.462863
0.448451;0.25077;0.491068;0.690889;0.501028;0.642973;0.518092;0.608936;0.543105;0.591097;0.561951;0.591167;0.560223;0.621529;0.594862;0.613758;0.61337;0.612786;0.622929;0.611869;0.567921;0.651361;0.595884;0.652419;0.590601;0.651154;0.576094;0.652653;0.567967;0.679484;0.593;0.675227;0.586135;0.6749;0.571306;0.676235;0.56362;0.705584;0.584053;0.701014;0.581304;0.697378;0.570256;0.69589;0.653693;0.626467;0.625419;0.582781;0.614013;0.539611;0.611025;0.50398;0.606872;0.47585;0.648425;0.494797;0.650914;0.449581;0.650999;0.421212;0.651001;0.397442;0.670058;0.499995;0.678639;0.447711;0.683669;0.417866;0.686656;0.39031;0.687094;0.513263;0.70202;0.471453;0.710773;0.442198;0.717119;0.415918;0.70042;0.533465;0.715323;0.502576;0.726784;0.482623;0.736939;0.461722
0.447513;0.261239;0.49353;0.685659;0.502243;0.635918;0.517422;0.603417;0.539524;0.587375;0.554576;0.589916;0.559684;0.612372;0.590727;0.604351;0.608108;0.603669;0.618371;0.603532;0.567278;0.641807;0.595458;0.643205;0.587869;0.645239;0.572178;0.647077;0.567473;0.669284;0.594688;0.66775;0.585847;0.66809;0.570035;0.668589;0.563453;0.696123;0.586332;0.695417;0.58258;0.694231;0.570102;0.692548;0.651451;0.627223;0.622784;0.585766;0.612797;0.54113;0.610171;0.505362;0.606053;0.477552;0.646494;0.493765;0.648553;0.44778;0.649491;0.418104;0.649991;0.394363;0.668138;0.498773;0.676043;0.446345;0.682117;0.4152;0.686289;0.388059;0.685406;0.51211;0.700205;0.470116;0.709637;0.440037;0.716463;0.414809;0.698905;0.532151;0.713653;0.500743;0.724418;0.479736;0.733371;0.459474
0.447424;0.267735;0.495859;0.680788;0.505562;0.630366;0.519785;0.597477;0.542766;0.581256;0.561262;0.584841;0.562609;0.607044;0.595819;0.602782;0.611221;0.602494;0.616099;0.603353;0.569937;0.635387;0.59875;0.639904;0.589072;0.640246;0.571533;0.642256;0.570411;0.66307;0.596729;0.663056;0.586053;0.662339;0.569054;0.664027;0.567897;0.689221;0.589121;0.688779;0.582465;0.686273;0.568808;0.683869;0.649903;0.626702;0.622769;0.58309;0.612049;0.538091;0.608842;0.502097;0.605175;0.476337;0.645765;0.489378;0.648424;0.443714;0.64915;0.415498;0.649036;0.393237;0.666978;0.493717;0.674604;0.441188;0.680335;0.41044;0.683218;0.385166;0.683649;0.507313;0.698856;0.465327;0.708106;0.435265;0.714083;0.410852;0.697037;0.528692;0.712224;0.497151;0.722629;0.476704;0.730917;0.457125
